t,cmd_vx,cmd_wz,odom_vx,odom_wz,imu_wz,yaw_deg,x,y
0.0,0.25,0.0,0.0,0.001,-0.001,-0.02,0.0,0.0
0.021,0.25,0.0,0.0,0.001,-0.001,-0.02,0.0,0.0
0.041,0.25,0.0,0.0,0.001,0.001,-0.02,0.0,0.0
0.062,0.25,0.0,0.0,-0.001,0.001,-0.02,0.0,0.0
0.082,0.25,0.0,0.0,-0.001,0.001,-0.02,0.0,0.0
0.103,0.25,0.0,0.0,-0.001,0.0,-0.02,0.0,0.0
0.123,0.25,0.0,0.0,-0.0,0.0,-0.02,0.0,0.0
0.144,0.25,0.0,0.0,-0.0,-0.001,-0.02,0.0,0.0
0.164,0.25,0.0,0.0,0.001,-0.001,-0.02,0.0,0.0
0.185,0.25,0.0,0.0,0.001,-0.001,-0.02,0.0,0.0
0.205,0.25,0.0,0.0,0.001,-0.007,-0.02,0.0,0.0
0.226,0.25,0.0,0.0236,0.007,-0.007,-0.01,0.0005,-0.0
0.246,0.25,0.0,0.0236,0.007,-0.003,-0.0,0.0009,-0.0001
0.267,0.25,0.0,0.0902,0.003,-0.015,0.0,0.0027,-0.0002
0.287,0.25,0.0,0.146,0.015,-0.015,0.02,0.0057,-0.0003
0.308,0.25,0.0,0.146,0.015,0.006,0.04,0.0086,-0.0005
0.328,0.25,0.0,0.1567,-0.006,0.006,0.03,0.0117,-0.0007
0.349,0.25,0.0,0.1567,-0.006,-0.011,0.02,0.0148,-0.0008
0.37,0.25,0.0,0.1954,0.011,0.007,0.04,0.0187,-0.0011
0.39,0.25,0.0,0.2447,-0.007,0.007,0.03,0.0236,-0.0013
0.413,0.25,0.0,0.2168,0.004,-0.004,0.02,0.0328,-0.0019
0.44,0.25,0.0,0.2168,0.004,-0.006,0.03,0.0372,-0.0021
0.461,0.25,0.0,0.2233,0.006,-0.001,0.04,0.0416,-0.0024
0.481,0.25,0.0,0.2404,0.001,-0.001,0.04,0.0464,-0.0026
0.501,0.25,0.0,0.2404,0.001,-0.011,0.04,0.0512,-0.0029
0.522,0.25,0.0,0.3113,0.011,-0.011,0.05,0.0574,-0.0033
0.542,0.25,0.0,0.3113,0.011,-0.003,0.06,0.0637,-0.0036
0.563,0.25,0.0,0.2426,0.003,0.003,0.07,0.0685,-0.0039
0.583,0.25,0.0,0.2512,-0.003,0.003,0.06,0.0735,-0.0042
0.604,0.25,0.0,0.2512,-0.003,-0.002,0.06,0.0785,-0.0045
0.624,0.25,0.0,0.2576,0.002,-0.002,0.06,0.0837,-0.0048
0.645,0.25,0.0,0.2576,0.002,0.004,0.06,0.0888,-0.005
0.665,0.25,0.0,0.3199,-0.004,0.004,0.06,0.0952,-0.0054
0.686,0.25,0.0,0.3199,-0.004,-0.004,0.06,0.1016,-0.0058
0.706,0.25,0.0,0.2598,0.004,0.006,0.06,0.1068,-0.0061
0.727,0.25,0.0,0.2533,-0.006,0.006,0.05,0.1118,-0.0063
0.747,0.25,0.0,0.2533,-0.006,0.0,0.05,0.1169,-0.0066
0.768,0.25,0.0,0.2598,-0.0,0.0,0.05,0.1221,-0.0069
0.788,0.25,0.0,0.2598,-0.0,-0.002,0.05,0.1273,-0.0072
0.809,0.25,0.0,0.3285,0.002,0.0,0.05,0.1338,-0.0076
0.83,0.25,0.0,0.2834,-0.0,0.0,0.05,0.1395,-0.0079
0.853,0.25,0.0,0.2641,0.001,-0.001,0.05,0.1504,-0.0085
0.879,0.25,0.0,0.2641,0.001,-0.007,0.05,0.1557,-0.0088
0.899,0.25,0.0,0.2662,0.007,-0.003,0.06,0.161,-0.0091
0.919,0.25,0.0,0.2898,0.003,-0.003,0.06,0.1668,-0.0095
0.94,0.25,0.0,0.2898,0.003,0.006,0.07,0.1726,-0.0098
0.96,0.25,0.0,0.2662,-0.006,0.006,0.06,0.1779,-0.0101
0.981,0.25,0.0,0.2662,-0.006,-0.003,0.05,0.1832,-0.0104
1.001,0.25,0.0,0.1975,0.003,-0.01,0.06,0.1872,-0.0106
1.022,0.25,0.0,0.337,0.01,-0.01,0.07,0.1939,-0.011
1.042,0.25,0.0,0.337,0.01,0.013,0.08,0.2006,-0.0114
1.062,0.25,0.0,0.2705,-0.013,0.013,0.06,0.206,-0.0117
1.083,0.25,0.0,0.2705,-0.013,-0.01,0.05,0.2114,-0.012
1.103,0.25,0.0,0.2662,0.01,-0.01,0.06,0.2167,-0.0123
1.124,0.25,0.0,0.2662,0.01,-0.003,0.07,0.2221,-0.0126
1.144,0.25,0.0,0.2683,0.003,-0.005,0.07,0.2274,-0.0129
1.164,0.25,0.0,0.3306,0.005,-0.005,0.08,0.234,-0.0133
1.185,0.25,0.0,0.3306,0.005,-0.007,0.09,0.2406,-0.0136
1.205,0.25,0.0,0.2705,0.007,0.013,0.09,0.246,-0.0139
1.226,0.25,0.0,0.1975,-0.013,0.013,0.08,0.25,-0.0141
1.246,0.25,0.0,0.1975,-0.013,-0.007,0.06,0.2539,-0.0144
1.267,0.25,0.0,0.3306,0.007,-0.007,0.07,0.2605,-0.0147
1.287,0.25,0.0,0.3306,0.007,0.01,0.08,0.2671,-0.0151
1.308,0.25,0.0,0.2748,-0.01,0.01,0.07,0.2726,-0.0154
1.328,0.25,0.0,0.2748,-0.01,-0.004,0.06,0.2781,-0.0157
1.348,0.25,0.0,0.2619,0.004,-0.013,0.06,0.2833,-0.016
1.369,0.25,0.0,0.2619,0.013,-0.013,0.08,0.2885,-0.0163
1.389,0.25,0.0,0.2619,0.013,0.01,0.09,0.2938,-0.0166
1.41,0.25,0.0,0.2683,-0.01,0.01,0.08,0.2991,-0.0169
1.432,0.25,0.0,0.2726,0.006,-0.006,0.08,0.3099,-0.0175
1.453,0.25,0.0,0.2726,0.006,-0.006,0.08,0.3099,-0.0175
1.473,0.25,0.0,0.2641,-0.005,0.005,0.08,0.3207,-0.0181
1.5,0.25,0.0,0.2641,-0.005,0.009,0.07,0.3259,-0.0184
1.52,0.25,0.0,0.2726,-0.003,0.001,0.07,0.3314,-0.0187
1.541,0.25,0.0,0.2748,-0.001,0.001,0.07,0.3369,-0.019
1.561,0.25,0.0,0.2748,-0.001,0.004,0.07,0.3423,-0.0193
1.581,0.25,0.0,0.2619,-0.004,0.002,0.06,0.3476,-0.0196
1.602,0.25,0.0,0.2018,-0.002,0.002,0.06,0.3516,-0.0199
1.622,0.25,0.0,0.2018,-0.002,0.002,0.06,0.3556,-0.0201
1.643,0.25,0.0,0.2018,-0.002,-0.003,0.05,0.3597,-0.0203
1.663,0.25,0.0,0.2748,0.003,0.004,0.06,0.3651,-0.0206
1.684,0.25,0.0,0.2726,-0.004,-0.002,0.05,0.3706,-0.0209
1.704,0.25,0.0,0.2726,0.002,-0.002,0.06,0.376,-0.0212
