t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1787939401.641,driving,11.51,6.666,3.0,2,13,14,12.075,6.525,-7.3,0.582,0.582,0.267,0.0,1.5,0.85
1787939401.696,driving,11.533,6.669,3.1,2,13,14,12.075,6.525,-7.7,0.561,0.561,0.266,0.0,1.5,0.84
1787939401.746,driving,11.542,6.67,3.1,0,11,12,12.075,6.525,-7.9,0.553,0.553,0.266,0.0,1.5,0.84
1787939401.805,driving,11.56,6.671,3.1,1,11,12,12.075,6.525,-8.2,0.536,0.536,0.266,0.0,1.5,0.84
1787939401.862,driving,11.569,6.671,3.1,1,11,12,12.075,6.525,-8.5,0.527,0.527,0.266,0.0,1.5,0.84
1787939401.92,driving,11.592,6.677,3.1,1,11,12,12.075,6.525,-8.7,0.506,0.506,0.267,0.0,1.5,0.85
1787939401.984,driving,11.605,6.681,3.0,1,11,12,12.075,6.525,-9.0,0.495,0.495,0.267,0.0,1.5,0.85
1787939402.041,driving,11.616,6.683,3.0,2,11,12,12.075,6.525,-9.3,0.485,0.485,0.3,0.0,1.5,2.31
1787939402.096,driving,11.635,6.684,3.0,2,11,12,12.075,6.525,-9.6,0.468,0.468,0.3,0.0,1.5,2.31
1787939402.152,driving,11.645,6.685,3.0,2,11,12,12.075,6.525,-9.9,0.459,0.459,0.3,0.0,1.5,2.29
1787939402.203,driving,11.665,6.686,3.0,3,11,12,12.075,6.525,-10.3,0.44,0.44,0.3,0.0,1.5,2.29
1787939402.256,driving,11.676,6.686,3.0,3,11,12,12.075,6.525,-10.7,0.431,0.431,0.3,0.0,1.5,2.26
1787939402.31,driving,11.696,6.688,3.0,3,11,12,12.075,6.525,-11.0,0.412,0.412,0.3,0.0,1.5,2.26
1787939402.362,driving,11.706,6.688,3.0,3,11,12,12.075,6.525,-11.4,0.403,0.403,0.3,0.0,1.5,2.23
1787939402.417,driving,11.727,6.689,3.0,4,11,12,12.075,6.525,-11.8,0.385,0.385,0.289,0.0,1.5,2.23
1787939402.479,driving,11.74,6.692,3.1,4,11,12,12.075,6.525,-12.4,0.374,0.374,0.28,0.0,1.5,2.2
1787939402.533,driving,11.77,6.699,3.6,5,11,12,12.075,6.525,-13.4,0.351,0.351,0.263,0.0,1.5,2.2
1787939402.59,driving,11.781,6.7,3.6,5,11,12,12.075,6.525,-13.9,0.342,0.342,0.257,0.0,1.5,2.17
1787939402.649,driving,11.798,6.701,3.6,5,11,12,12.075,6.525,-14.5,0.328,0.328,0.246,0.0,1.5,2.17
1787939402.711,driving,11.807,6.702,3.6,5,11,12,12.075,6.525,-15.0,0.321,0.321,0.241,0.0,1.5,2.14
1787939402.772,driving,11.824,6.703,3.6,0,6,7,12.075,6.525,-15.6,0.308,0.308,0.231,0.0,1.5,2.14
1787939402.83,turning,11.832,6.703,3.6,0,6,7,12.075,6.525,-16.2,0.301,0.301,0.0,-2.4,1.5,2.12
1787939402.885,turning,11.841,6.704,2.9,1,6,7,12.075,6.525,-16.2,0.294,0.294,0.0,-2.4,1.5,2.12
1787939402.937,turning,11.846,6.709,2.3,1,6,7,12.075,6.525,-16.2,0.294,0.294,0.0,-2.4,1.5,2.1
1787939402.989,turning,11.851,6.715,1.7,1,6,7,12.075,6.525,-16.2,0.294,0.294,0.0,-2.4,1.5,2.1
1787939403.041,turning,11.856,6.72,0.3,1,6,7,12.075,6.525,-15.4,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.094,turning,11.856,6.72,-0.6,1,6,7,12.075,6.525,-15.2,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.147,turning,11.856,6.72,-2.3,1,6,7,12.075,6.525,-14.2,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.199,turning,11.856,6.72,-3.2,1,6,7,12.075,6.525,-13.9,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.252,turning,11.856,6.72,-4.9,1,6,7,12.075,6.525,-12.8,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.303,turning,11.856,6.72,-5.7,1,6,7,12.075,6.525,-12.5,0.294,0.294,0.0,-2.4,1.5,2.09
1787939403.362,driving,11.856,6.72,-7.5,1,6,7,12.075,6.525,-11.4,0.294,0.294,0.22,0.0,1.5,2.09
1787939403.421,driving,11.856,6.72,-8.3,1,6,7,12.075,6.525,-11.1,0.294,0.294,0.22,0.0,1.5,2.09
1787939403.48,driving,11.859,6.72,-8.4,1,6,7,12.075,6.525,-11.5,0.291,0.291,0.22,0.0,1.5,2.09
1787939403.54,driving,11.863,6.719,-8.4,1,6,7,12.075,6.525,-12.1,0.288,0.288,0.22,0.0,1.5,2.09
1787939403.601,driving,11.878,6.72,-8.1,1,6,7,12.075,6.525,-13.1,0.277,0.277,0.22,0.0,1.5,2.08
1787939403.654,driving,11.887,6.72,-7.8,1,6,7,12.075,6.525,-14.0,0.271,0.271,0.22,0.0,1.5,2.08
1787939403.709,driving,11.903,6.719,-7.6,1,6,7,12.075,6.525,-14.8,0.26,0.26,0.22,0.0,1.5,2.06
1787939403.76,driving,11.91,6.718,-7.6,1,6,7,12.075,6.525,-15.5,0.254,0.254,0.22,0.0,1.5,2.06
1787939403.815,turning,11.925,6.716,-7.6,0,4,5,12.075,6.525,-16.2,0.243,0.243,0.0,-2.4,1.5,2.04
1787939403.867,turning,11.932,6.715,-7.6,0,4,5,12.075,6.525,-16.9,0.238,0.238,0.0,-2.4,1.5,2.04
1787939403.919,turning,11.933,6.716,-8.2,0,4,5,12.075,6.525,-17.0,0.238,0.238,0.0,-2.4,1.5,2.01
1787939403.971,turning,11.928,6.717,-10.2,0,4,5,12.075,6.525,-15.7,0.242,0.242,0.0,-2.4,1.5,2.01
1787939404.022,turning,11.926,6.718,-11.1,0,4,5,12.075,6.525,-15.4,0.244,0.244,0.0,-2.4,1.5,2.01
1787939404.076,turning,11.926,6.718,-12.8,0,4,5,12.075,6.525,-14.4,0.244,0.244,0.0,-2.4,1.5,2.01
1787939404.129,turning,11.926,6.718,-13.7,0,4,5,12.075,6.525,-14.1,0.244,0.244,0.0,-2.4,1.5,2.01
