volta,t_rel,de,para,wz_antes,wz_depois,dist_goal
aprox1,15.1,goal_approach,goal_turn,0.0,-2.662,0.053
aprox1,16.5,goal_turn,turning,-2.4,2.4,7.024
aprox1,122.9,goal_approach,goal_turn,0.0,-4.5,0.054
aprox1,124.0,goal_turn,goal_approach,-3.756,2.4,0.105
aprox1,124.3,goal_approach,goal_turn,0.0,-3.525,0.051
aprox1,126.1,goal_turn,turning,-2.4,-4.5,6.256
aprox1,185.8,goal_approach,goal_turn,-2.4,-4.5,0.057
aprox1,188.6,goal_turn,turning,-2.4,-4.5,6.987
aprox1,250.2,goal_approach,goal_turn,-2.4,-4.107,0.057
aprox2,13.8,goal_approach,goal_turn,0.0,-3.738,0.048
aprox2,15.5,goal_turn,turning,-2.4,2.4,7.029
aprox2,104.8,goal_approach,goal_turn,-2.4,4.5,0.059
aprox2,106.4,goal_turn,goal_approach,2.975,4.5,0.101
aprox2,183.6,goal_approach,goal_turn,0.0,4.5,0.058
aprox2,186.1,goal_turn,turning,2.4,-4.351,6.888
aprox2,262.6,goal_approach,goal_turn,0.0,4.5,0.056
aprox2,265.0,goal_turn,goal_approach,2.4,-4.5,0.101
aprox2,273.9,goal_approach,goal_turn,0.0,-4.5,0.056
aprox2,277.0,goal_turn,arrived,-2.4,0.0,0.012
aprox2,289.5,goal_approach,goal_turn,-2.4,4.5,0.055
aprox2,290.9,goal_turn,goal_approach,4.02,-4.5,0.106
aprox2,296.9,goal_approach,goal_turn,0.0,-4.5,0.051
aprox2,299.6,goal_turn,arrived,-2.4,0.0,0.055
aprox2,311.0,goal_approach,goal_turn,-2.4,4.5,0.057
aprox3,97.8,goal_approach,goal_turn,-2.4,-4.5,0.059
aprox3,100.6,goal_turn,turning,-2.4,-4.5,6.261
aprox3,150.6,goal_approach,goal_turn,0.0,4.5,0.052
aprox3,151.8,goal_turn,idle,3.128,0.0,0.011
aprox3,176.2,goal_approach,goal_turn,0.0,-3.988,0.06
aprox3,178.1,goal_turn,turning,-2.4,4.5,6.992
aprox3,220.4,goal_approach,goal_turn,-2.4,4.5,0.058
aprox3,221.7,goal_turn,goal_approach,2.494,-4.5,0.1
aprox3,226.4,goal_approach,goal_turn,0.0,-4.5,0.056
aprox3,227.4,goal_turn,goal_approach,-4.5,3.604,0.108
aprox3,230.9,goal_approach,goal_turn,0.0,-4.5,0.051
aprox3,232.5,goal_turn,idle,-4.239,0.0,0.014
aprox3,233.5,idle,goal_turn,0.0,-3.883,0.04
