volta,total_s,goals_ok,COLISAO,raspao,folga_min_m,samba,unstuck_s,parado_por_goal
arena_baseline1,236.4,5/5,2,28,-0.0000,8,0.0,g1:0.0 g2:0.2 g3:0.0 g4:0.0 g5:0.0
arena_latch1,222.8,5/5,0,0,0.0741,0,1.3,g1:0.0 g2:0.1 g3:0.0 g4:10.8 g5:0.0
latchN1,219.8,4/5,0,0,0.0620,0,2.9,g1:0.0 g2:0.0 g3:0.0 g4:16.4 g5:0.4
latchN2,251.2,5/5,0,0,0.0749,0,5.8,g1:0.0 g2:0.0 g3:0.0 g4:0.0 g5:16.5
latchN3,254.7,5/5,0,0,0.1014,0,6.2,g1:0.0 g2:0.0 g3:6.3 g4:0.4 g5:19.1
aprox1,250.4,5/5,0,0,0.0483,0,0.0,g1:0.1 g2:0.0 g3:0.0 g4:0.0 g5:0.0
aprox2,328.6,5/5,0,4,0.0083,0,3.0,g1:0.0 g2:0.0 g3:0.0 g4:25.1 g5:31.5
aprox3,254.3,5/5,0,0,0.0893,0,1.4,g1:0.0 g2:0.0 g3:0.0 g4:15.0 g5:0.4
hist1,230.3,5/5,0,0,0.0776,0,0.0,g1:0.0 g2:0.0 g3:0.0 g4:1.0 g5:0.0
hist2,269.1,5/5,0,0,0.0630,0,1.5,g1:0.1 g2:0.0 g3:0.0 g4:25.6 g5:1.0
hist3,265.6,5/5,0,0,0.0451,0,3.2,g1:0.0 g2:0.0 g3:30.7 g4:0.0 g5:0.0
