volta,t_rel,de,para,wz_antes,wz_depois,dist_goal
hist1,14.8,goal_approach,goal_turn,0.0,-4.261,0.053
hist1,16.6,goal_turn,turning,-2.4,2.4,7.031
hist1,104.0,goal_approach,goal_turn,0.0,-4.5,0.056
hist1,106.7,goal_turn,turning,-2.4,-4.5,6.215
hist1,161.2,goal_approach,goal_turn,0.0,4.5,0.058
hist1,163.1,goal_turn,idle,2.4,0.0,0.029
hist1,164.1,idle,goal_turn,0.0,2.4,0.06
hist1,165.3,goal_turn,turning,2.4,4.5,6.875
hist1,210.0,goal_approach,goal_turn,0.0,4.5,0.045
hist2,15.5,goal_approach,goal_turn,0.0,-4.25,0.058
hist2,17.5,goal_turn,turning,-2.4,2.4,7.045
hist2,108.6,goal_approach,goal_turn,0.0,-4.5,0.051
hist2,111.5,goal_turn,turning,-2.4,-4.5,6.237
hist2,165.7,goal_approach,goal_turn,0.0,4.5,0.06
hist2,167.8,goal_turn,idle,2.4,0.0,0.009
hist2,183.4,idle,goal_turn,0.0,2.4,0.094
hist2,183.4,goal_turn,goal_approach,2.4,-4.5,0.102
hist2,193.1,goal_approach,goal_turn,-2.4,-4.5,0.059
hist2,194.9,goal_turn,goal_approach,-3.289,2.412,0.101
hist2,197.7,goal_approach,goal_turn,2.4,-4.5,0.059
hist2,200.4,goal_turn,arrived,-2.4,0.0,0.019
hist2,258.5,goal_approach,goal_turn,0.0,-4.5,0.047
hist2,259.1,goal_turn,idle,-4.5,0.0,0.029
hist2,260.1,idle,goal_turn,0.0,-4.5,0.053
hist3,14.3,goal_approach,goal_turn,0.0,-3.85,0.055
hist3,16.1,goal_turn,turning,-2.4,2.4,7.03
hist3,105.4,goal_approach,goal_turn,0.0,-4.5,0.055
hist3,106.2,goal_turn,idle,-3.501,0.0,0.023
hist3,144.0,goal_approach,goal_turn,2.4,4.186,0.059
hist3,146.7,goal_turn,arrived,2.4,0.0,0.042
hist3,204.4,goal_approach,goal_turn,0.0,4.5,0.052
hist3,207.2,goal_turn,turning,2.4,-4.392,6.906
hist3,250.8,goal_approach,goal_turn,0.0,4.5,0.059
