t_rel,state,x_amcl,y_amcl,yaw_amcl,dist_goal_amcl,wz,yaw_gz,x_gz,y_gz
155.03,driving,5.801,7.613,87.0,0.238,0.0,86.4,5.782,7.631
155.09,turning,5.802,7.62,87.0,0.232,-2.4,85.3,5.782,7.632
155.14,turning,5.791,7.642,86.8,0.227,-2.4,84.2,5.782,7.632
155.19,turning,5.782,7.652,86.5,0.229,-2.4,83.1,5.782,7.633
155.25,turning,5.776,7.659,85.2,0.231,-2.4,82.0,5.782,7.634
155.31,turning,5.776,7.659,84.3,0.231,-2.4,80.8,5.782,7.634
155.37,turning,5.776,7.659,82.6,0.231,-2.4,79.7,5.782,7.635
155.42,turning,5.776,7.659,81.7,0.231,-2.4,78.5,5.782,7.635
155.48,turning,5.776,7.659,80.0,0.231,-2.4,77.3,5.782,7.636
155.53,turning,5.776,7.659,79.2,0.231,-2.4,76.2,5.782,7.637
155.59,turning,5.776,7.659,78.3,0.231,-2.4,75.4,5.782,7.637
155.67,turning,5.776,7.659,76.6,0.231,-2.4,73.1,5.782,7.638
155.72,driving,5.776,7.659,75.7,0.231,0.0,73.1,5.783,7.640
155.78,driving,5.776,7.659,74.6,0.23,0.0,73.1,5.784,7.645
155.83,driving,5.777,7.661,74.6,0.229,0.0,73.1,5.787,7.653
155.89,driving,5.779,7.67,74.6,0.222,0.0,73.1,5.790,7.662
155.95,turning,5.783,7.68,74.7,0.214,-2.4,72.9,5.791,7.668
156.01,turning,5.792,7.698,74.3,0.198,-2.4,72.0,5.791,7.669
156.08,turning,5.793,7.7,73.5,0.197,-2.4,69.9,5.792,7.670
156.14,turning,5.793,7.7,71.8,0.197,-2.4,68.8,5.792,7.670
156.20,turning,5.793,7.7,70.9,0.197,-2.4,67.6,5.792,7.671
156.25,turning,5.793,7.7,69.2,0.197,-2.4,66.4,5.792,7.672
156.30,turning,5.793,7.698,68.4,0.197,-2.4,65.1,5.793,7.672
156.36,turning,5.794,7.694,66.9,0.198,-2.4,63.9,5.793,7.673
156.41,turning,5.794,7.693,66.1,0.198,-2.4,62.7,5.793,7.673
156.46,turning,5.794,7.693,64.4,0.198,-2.4,61.5,5.793,7.674
156.52,turning,5.794,7.693,63.5,0.198,-2.4,60.2,5.793,7.675
156.57,driving,5.794,7.693,62.7,0.198,0.0,59.8,5.794,7.676
