volta,t_rel,de,para,wz_antes,wz_depois,dist_goal
baseline_08-28,11.9,driving,goal_turn,0.0,-2.4,0.147
baseline_08-28,12.3,goal_turn,turning,-2.4,2.4,0.151
baseline_08-28,49.2,turning,goal_turn,2.4,-2.4,0.146
baseline_08-28,49.3,goal_turn,arrived,-2.4,0.0,0.146
baseline_08-28,50.7,driving,goal_turn,0.0,-2.4,0.138
baseline_08-28,50.8,goal_turn,turning,-2.4,2.4,5.121
baseline_08-28,100.9,driving,goal_turn,0.0,4.5,0.139
baseline_08-28,103.5,goal_turn,turning,2.4,-4.5,0.15
baseline_08-28,107.3,driving,goal_turn,0.0,4.5,0.144
baseline_08-28,108.2,goal_turn,turning,4.096,-3.757,0.15
baseline_08-28,112.2,driving,goal_turn,0.0,4.5,0.137
baseline_08-28,113.2,goal_turn,turning,4.203,-4.5,0.152
baseline_08-28,113.7,turning,goal_turn,-3.091,4.5,0.146
baseline_08-28,114.3,goal_turn,turning,3.671,-4.5,0.153
baseline_08-28,119.0,driving,goal_turn,0.0,-4.5,0.148
baseline_08-28,119.6,goal_turn,turning,-4.5,2.4,0.157
baseline_08-28,122.1,driving,goal_turn,0.0,-4.5,0.146
baseline_08-28,122.2,goal_turn,driving,-4.5,0.0,0.15
baseline_08-28,122.7,turning,goal_turn,2.4,-4.5,0.142
baseline_08-28,125.6,goal_turn,turning,-2.4,4.5,6.263
baseline_08-28,178.6,driving,goal_turn,0.0,4.5,0.141
baseline_08-28,181.3,goal_turn,turning,2.4,-4.5,6.86
baseline_08-28,227.1,driving,goal_turn,0.0,4.5,0.15
baseline_08-28,227.3,goal_turn,turning,4.411,-2.4,0.151
baseline_08-28,228.5,driving,goal_turn,0.0,4.5,0.134
latch_08-31,14.3,driving,goal_turn,0.0,-2.4,0.141
latch_08-31,14.9,goal_turn,turning,-2.4,2.4,7.044
latch_08-31,103.3,turning,goal_turn,-2.4,4.5,0.145
latch_08-31,105.9,goal_turn,turning,2.4,-4.5,6.18
latch_08-31,157.0,turning,goal_turn,-2.4,4.5,0.147
latch_08-31,160.3,goal_turn,arrived,2.4,0.0,0.166
latch_08-31,165.5,arrived,goal_turn,0.0,-2.4,0.155
latch_08-31,167.0,goal_turn,arrived,-2.4,0.0,0.179
latch_08-31,173.0,arrived,goal_turn,0.0,-2.4,0.164
latch_08-31,174.1,goal_turn,turning,-2.4,-4.5,6.81
latch_08-31,218.9,turning,goal_turn,-2.4,3.824,0.149
