volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
latchN1,A_fresta90_1,0.0620,0,0
latchN1,cone_3,0.0977,0,0
latchN1,A_fresta90_2,0.1702,0,0
latchN1,C_fresta60_1,0.1989,0,0
latchN1,B_fresta70_1,0.2424,0,0
latchN1,cone_1,0.2864,0,0
latchN1,cone_4,0.2917,0,0
latchN1,D_fresta80_2,0.4451,0,0
latchN1,muro_sul,0.7081,0,0
latchN1,muro_oeste,0.7500,0,0
latchN1,D_fresta80_1,1.6347,0,0
latchN2,A_fresta90_1,0.0749,0,0
latchN2,cone_2,0.0871,0,0
latchN2,A_fresta90_2,0.0994,0,0
latchN2,cone_4,0.1472,0,0
latchN2,C_fresta60_1,0.2046,0,0
latchN2,B_fresta70_1,0.2222,0,0
latchN2,cone_3,0.2841,0,0
latchN2,cone_1,0.2969,0,0
latchN2,D_fresta80_2,0.3941,0,0
latchN2,muro_oeste,0.7009,0,0
latchN2,muro_sul,0.7021,0,0
latchN2,D_fresta80_1,1.6816,0,0
latchN3,A_fresta90_1,0.1014,0,0
latchN3,A_fresta90_2,0.1115,0,0
latchN3,cone_2,0.1656,0,0
latchN3,cone_3,0.1720,0,0
latchN3,C_fresta60_1,0.1995,0,0
latchN3,cone_4,0.2068,0,0
latchN3,B_fresta70_1,0.2946,0,0
latchN3,D_fresta80_2,0.3083,0,0
latchN3,cone_1,0.3121,0,0
latchN3,muro_sul,0.7025,0,0
latchN3,muro_oeste,0.7500,0,0
latchN3,D_fresta80_1,1.7138,0,0
