volta,t_rel,de,para,wz_antes,wz_depois,dist_goal
latchN1,11.8,driving,goal_turn,0.0,-2.4,0.145
latchN1,12.3,goal_turn,turning,-2.4,2.4,7.034
latchN1,82.4,driving,goal_turn,0.0,4.5,0.142
latchN1,85.0,goal_turn,turning,2.4,-4.5,6.257
latchN1,135.1,driving,goal_turn,0.0,4.5,0.149
latchN1,137.9,goal_turn,arrived,2.4,0.0,0.156
latchN1,142.8,arrived,goal_turn,0.0,-2.4,0.172
latchN1,144.3,goal_turn,arrived,-2.4,0.0,0.183
latchN1,150.3,arrived,goal_turn,0.0,-2.4,0.19
latchN1,151.7,goal_turn,arrived,-2.4,0.0,0.199
latchN1,201.9,driving,goal_turn,0.0,3.881,0.148
latchN2,11.8,driving,goal_turn,0.0,-2.4,0.149
latchN2,12.3,goal_turn,turning,-2.4,2.4,7.033
latchN2,52.5,driving,goal_turn,0.0,-2.4,0.139
latchN2,52.7,goal_turn,turning,-2.4,2.4,5.124
latchN2,101.0,driving,goal_turn,0.0,4.5,0.149
latchN2,103.4,goal_turn,turning,2.4,4.5,6.19
latchN2,147.2,driving,goal_turn,0.0,4.5,0.141
latchN2,149.5,goal_turn,turning,2.4,-4.5,6.844
latchN2,195.7,driving,goal_turn,0.0,4.5,0.147
latchN2,198.9,goal_turn,arrived,2.4,0.0,0.193
latchN2,217.1,driving,goal_turn,0.0,4.5,0.145
latchN2,220.8,goal_turn,arrived,2.4,0.0,0.24
latchN2,237.6,driving,goal_turn,0.0,-4.5,0.147
latchN3,12.4,driving,goal_turn,0.0,-2.4,0.147
latchN3,13.3,goal_turn,turning,-2.4,2.4,6.965
latchN3,51.2,driving,goal_turn,0.0,-2.4,0.147
latchN3,51.5,goal_turn,turning,-2.4,2.4,5.14
latchN3,99.0,driving,goal_turn,0.0,4.5,0.149
latchN3,101.7,goal_turn,arrived,2.4,0.0,0.167
latchN3,105.6,arrived,goal_turn,0.0,2.4,0.363
latchN3,106.2,goal_turn,arrived,2.4,0.0,0.365
latchN3,159.8,driving,goal_turn,0.0,4.5,0.149
latchN3,161.9,goal_turn,turning,2.4,-4.5,6.82
latchN3,208.1,turning,goal_turn,-2.4,4.5,0.146
latchN3,210.8,goal_turn,arrived,2.4,0.0,0.154
latchN3,242.6,driving,goal_turn,0.0,-4.5,0.147
