volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
noguard1,A_fresta90_1,0.0827,0,0
noguard1,cone_3,0.1249,0,0
noguard1,cone_2,0.1457,0,0
noguard1,A_fresta90_2,0.1697,0,0
noguard1,C_fresta60_1,0.2075,0,0
noguard1,cone_4,0.2662,0,0
noguard1,B_fresta70_1,0.2898,0,0
noguard1,cone_1,0.3314,0,0
noguard1,D_fresta80_2,0.4281,0,0
noguard1,muro_sul,0.7028,0,0
noguard1,muro_oeste,0.7500,0,0
noguard1,D_fresta80_1,1.6235,0,0
noguard2,A_fresta90_1,0.0667,0,0
noguard2,cone_3,0.0970,0,0
noguard2,A_fresta90_2,0.1265,0,0
noguard2,cone_4,0.1428,0,0
noguard2,cone_2,0.1721,0,0
noguard2,C_fresta60_1,0.2445,0,0
noguard2,B_fresta70_1,0.2617,0,0
noguard2,cone_1,0.2905,0,0
noguard2,D_fresta80_2,0.4554,0,0
noguard2,muro_sul,0.7079,0,0
noguard2,muro_oeste,0.7500,0,0
noguard2,D_fresta80_1,1.6674,0,0
noguard3,A_fresta90_2,0.0000,9,48
noguard3,cone_4,0.0883,0,0
noguard3,cone_3,0.0957,0,0
noguard3,cone_1,0.1276,0,0
noguard3,cone_2,0.1518,0,0
noguard3,C_fresta60_1,0.2083,0,0
noguard3,A_fresta90_1,0.2548,0,0
noguard3,B_fresta70_1,0.2937,0,0
noguard3,D_fresta80_2,0.4729,0,0
noguard3,muro_sul,0.7063,0,0
noguard3,muro_oeste,0.7500,0,0
noguard3,D_fresta80_1,1.7147,0,0
