volta,t_rel,de,para,wz_antes,wz_depois,dist_goal
noguard1,98.8,goal_approach,goal_turn,0.0,4.5,0.051
noguard1,101.5,goal_turn,turning,2.4,-4.5,6.2
noguard1,157.6,goal_approach,goal_turn,0.0,-4.5,0.054
noguard1,159.7,goal_turn,turning,-2.4,-4.5,6.984
noguard1,204.3,goal_approach,goal_turn,0.0,4.5,0.058
noguard2,98.1,goal_approach,goal_turn,0.0,4.5,0.053
noguard2,100.8,goal_turn,turning,2.4,-4.5,6.288
noguard2,151.6,goal_approach,goal_turn,0.0,4.5,0.046
noguard2,154.5,goal_turn,turning,2.4,-4.5,6.89
noguard2,199.8,goal_approach,goal_turn,0.0,4.5,0.045
noguard3,13.4,goal_approach,goal_turn,0.0,-3.487,0.059
noguard3,14.3,goal_turn,idle,-2.4,0.0,0.028
noguard3,24.0,goal_approach,goal_turn,0.0,4.5,0.053
noguard3,25.8,goal_turn,goal_approach,2.417,4.5,0.102
noguard3,116.7,goal_approach,goal_turn,0.0,4.5,0.058
noguard3,119.5,goal_turn,turning,2.4,-4.5,6.26
noguard3,168.6,goal_approach,goal_turn,0.0,4.5,0.049
noguard3,171.4,goal_turn,turning,2.4,-4.5,6.911
noguard3,213.6,goal_approach,goal_turn,0.0,4.5,0.058
