volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
contornoA1,cone_4,0.1349,0,0
contornoA1,C_fresta60_1,0.2123,0,0
contornoA1,A_fresta90_2,0.2237,0,0
contornoA1,B_fresta70_1,0.2609,0,0
contornoA1,cone_2,0.2817,0,0
contornoA1,cone_1,0.3088,0,0
contornoA1,cone_3,0.3353,0,0
contornoA1,D_fresta80_2,0.3628,0,0
contornoA1,muro_sul,0.7025,0,0
contornoA1,muro_oeste,0.7500,0,0
contornoA1,D_fresta80_1,1.6372,0,0
contornoA2,cone_3,0.1600,0,0
contornoA2,D_fresta80_2,0.1611,0,0
contornoA2,C_fresta60_1,0.1885,0,0
contornoA2,cone_1,0.2067,0,0
contornoA2,cone_4,0.2124,0,0
contornoA2,A_fresta90_2,0.2349,0,0
contornoA2,B_fresta70_1,0.2433,0,0
contornoA2,cone_2,0.3316,0,0
contornoA2,muro_sul,0.6997,0,0
contornoA2,muro_oeste,0.7500,0,0
contornoA2,D_fresta80_1,1.6767,0,0
contornoA3,C_fresta60_1,0.1838,0,0
contornoA3,B_fresta70_1,0.1991,0,0
contornoA3,cone_2,0.2096,0,0
contornoA3,D_fresta80_2,0.2263,0,0
contornoA3,cone_3,0.2596,0,0
contornoA3,A_fresta90_2,0.2703,0,0
contornoA3,cone_4,0.3455,0,0
contornoA3,cone_1,0.4830,0,0
contornoA3,muro_oeste,0.6603,0,0
contornoA3,muro_sul,0.6859,0,0
contornoA3,D_fresta80_1,1.7167,0,0
contornoA4,cone_3,0.1224,0,0
contornoA4,cone_4,0.1261,0,0
contornoA4,B_fresta70_1,0.1815,0,0
contornoA4,C_fresta60_1,0.2219,0,0
contornoA4,A_fresta90_2,0.2375,0,0
contornoA4,cone_1,0.2659,0,0
contornoA4,D_fresta80_2,0.2702,0,0
contornoA4,cone_2,0.2828,0,0
contornoA4,muro_sul,0.6994,0,0
contornoA4,muro_oeste,0.7500,0,0
contornoA4,D_fresta80_1,1.6862,0,0
