volta,objeto,folga_min_m,eventos_COLISAO,eventos_raspao
std14_1,cone_1,0.1358,0,0
std14_1,C_fresta60_1,0.1853,0,0
std14_1,B_fresta70_1,0.2081,0,0
std14_1,A_fresta90_2,0.2453,0,0
std14_1,D_fresta80_2,0.3452,0,0
std14_1,cone_2,0.3628,0,0
std14_1,cone_4,0.6390,0,0
std14_1,cone_3,0.6477,0,0
std14_1,muro_sul,0.7076,0,0
std14_1,muro_oeste,0.7500,0,0
std14_1,B_fresta70_2,0.7787,0,0
std14_1,D_fresta80_1,1.7239,0,0
std14_2,C_fresta60_1,0.1687,0,0
std14_2,A_fresta90_2,0.2099,0,0
std14_2,B_fresta70_1,0.2424,0,0
std14_2,D_fresta80_2,0.3951,0,0
std14_2,cone_1,0.5996,0,0
std14_2,cone_2,0.6255,0,0
std14_2,cone_4,0.6822,0,0
std14_2,muro_sul,0.7026,0,0
std14_2,cone_3,0.7050,0,0
std14_2,muro_oeste,0.7500,0,0
std14_2,B_fresta70_2,0.8180,0,0
std14_2,D_fresta80_1,1.6900,0,0
std14_3,C_fresta60_1,0.1994,0,0
std14_3,B_fresta70_1,0.2204,0,0
std14_3,A_fresta90_2,0.2451,0,0
std14_3,D_fresta80_2,0.2816,0,0
std14_3,cone_1,0.4598,0,0
std14_3,cone_3,0.4748,0,0
std14_3,cone_2,0.5657,0,0
std14_3,cone_4,0.6830,0,0
std14_3,muro_sul,0.6998,0,0
std14_3,muro_oeste,0.7500,0,0
std14_3,B_fresta70_2,0.7627,0,0
std14_3,D_fresta80_1,1.7453,0,0
