volta,t,state,reason,ang,nav_wants,stuck_s,x,y
std14_1,1.068,monitoring,,0.0,0,,0.0,0.0
std14_1,44.3,advancing,near,0.0,1,3.02,2.128,0.34
std14_1,45.3,grace,near,0.0,1,4.25,2.297,0.449
std14_1,47.0,monitoring,near,0.0,1,,2.3,0.451
std14_1,108.6,advancing,near,0.0,1,3.09,8.791,0.065
std14_1,109.7,grace,near,0.0,1,4.4,9.008,0.113
std14_1,111.5,monitoring,near,0.0,1,,9.012,0.114
std14_1,140.1,advancing,near,0.0,1,3.08,8.552,0.377
std14_1,141.2,grace,near,0.0,1,4.35,8.761,0.313
std14_1,142.9,monitoring,near,0.0,1,,8.768,0.311
std14_2,1.44,monitoring,,0.0,0,,0.0,0.0
std14_3,1.372,monitoring,,0.0,0,,0.0,0.0
