t_wall,topic,vx,wz,px,py,extra
1788371698.481,follow_state,,,,,idle
1788371698.494,odom,0.0000,-0.0000,0.000,-0.000,
1788371698.536,odom,0.0000,0.0000,0.000,-0.000,
1788371698.578,odom,-0.0000,-0.0000,0.000,-0.000,
1788371698.626,odom,0.0000,-0.0000,0.000,-0.000,
1788371698.672,odom,-0.0000,0.0000,0.000,-0.000,
1788371698.707,odom,0.0000,0.0000,0.000,-0.000,
1788371698.742,odom,0.0000,0.0000,0.000,-0.000,
1788371698.779,odom,0.0000,0.0000,0.000,-0.000,
1788371698.813,odom,-0.0000,0.0000,0.000,-0.000,
1788371698.847,odom,-0.0000,0.0000,0.000,-0.000,
1788371698.882,odom,0.0000,0.0000,0.000,-0.000,
1788371698.915,odom,-0.0000,0.0000,0.000,-0.000,
1788371698.950,odom,0.0000,0.0000,0.000,-0.000,
1788371698.984,odom,0.0000,0.0000,0.000,-0.000,
1788371699.018,odom,0.0000,0.0000,0.000,-0.000,
1788371699.052,odom,0.0000,0.0000,0.000,-0.000,
1788371699.086,odom,0.0000,0.0000,0.000,-0.000,
1788371699.126,odom,0.0000,-0.0000,0.000,-0.000,
1788371699.161,odom,0.0000,-0.0000,0.000,-0.000,
1788371699.196,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.248,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.287,odom,0.0000,0.0000,0.000,-0.000,
1788371699.321,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.361,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.395,odom,-0.0000,-0.0000,0.000,-0.000,
1788371699.431,odom,0.0000,0.0000,0.000,-0.000,
1788371699.464,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.497,odom,0.0000,-0.0000,0.000,-0.000,
1788371699.532,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.603,odom,0.0000,-0.0000,0.000,-0.000,
1788371699.648,odom,0.0000,0.0000,0.000,-0.000,
1788371699.684,odom,-0.0000,0.0000,0.000,-0.000,
1788371699.719,odom,0.0000,0.0000,0.000,-0.000,
