t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788371701.426,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371701.669,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371701.888,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371702.097,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371702.315,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371702.527,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371702.728,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371702.933,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371703.155,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371703.357,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371703.561,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371703.778,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371704.008,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371704.211,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371704.420,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371704.647,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371704.860,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371705.089,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371705.296,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371705.523,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371705.736,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371705.944,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371706.173,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371706.394,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371706.605,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371706.812,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371707.047,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371707.258,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371707.466,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371707.676,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371707.903,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371708.111,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371708.321,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371708.546,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371708.760,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371708.966,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371709.175,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371709.398,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371709.605,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371709.815,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371710.035,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371710.253,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371710.458,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371710.666,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371710.897,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371711.113,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371711.325,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371711.537,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371711.767,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371711.971,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371712.175,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371712.404,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371712.625,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371712.840,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371713.052,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371713.283,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371713.491,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371713.697,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371713.916,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371714.143,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371714.345,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371714.548,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371714.766,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371714.987,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371715.196,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371715.406,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371715.640,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371715.852,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371716.061,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371716.281,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371716.509,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371716.715,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371716.925,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371717.158,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788371717.381,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371717.584,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371717.802,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371718.026,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371718.234,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371718.442,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371718.670,1.000,1.000,0.0,72.1,3.367,0.0000,0.0000
1788371718.890,1.000,1.000,0.0,-14.8,3.367,0.2864,0.0000
1788371719.106,1.038,1.000,0.0,-14.4,3.353,0.3500,0.0000
1788371719.334,1.099,1.000,0.0,-14.7,3.296,0.3500,0.0000
1788371719.579,1.160,1.000,0.0,-13.6,3.236,0.3500,0.0000
1788371719.792,1.211,1.000,0.0,-13.7,3.177,0.3500,0.0000
1788371720.014,1.275,1.002,0.5,-14.8,3.119,0.3500,6.0000
1788371720.246,1.336,1.003,0.5,-15.2,3.060,0.3500,0.0000
1788371720.469,1.387,1.006,1.3,-16.3,3.000,0.3500,0.0000
1788371720.683,1.448,1.008,1.3,-16.8,2.940,0.3500,6.0000
1788371720.909,1.510,1.010,1.3,-14.7,2.880,0.3500,0.0000
1788371721.137,1.571,1.011,1.3,-16.5,2.822,0.3182,0.0000
1788371721.366,1.628,1.007,0.5,-15.4,2.764,0.3500,6.0000
1788371721.593,1.689,1.008,0.5,-15.8,2.704,0.3500,6.0000
1788371721.851,1.717,1.011,1.1,-16.1,2.644,0.3500,6.0000
1788371722.065,1.779,1.013,1.1,-15.3,2.586,0.3500,6.0000
1788371722.280,1.837,1.014,1.1,-17.0,2.527,0.2864,0.0000
1788371722.509,1.898,1.015,1.1,-17.5,2.467,0.3500,6.0000
1788371722.737,1.960,1.009,0.9,-15.4,2.408,0.3500,6.0000
1788371722.948,2.021,1.010,0.9,-13.1,2.351,0.3500,6.0000
1788371723.159,2.086,1.015,1.7,-16.4,2.291,0.3500,6.0000
1788371723.395,2.147,1.017,1.7,-18.3,2.232,0.3500,6.0000
1788371723.615,2.192,1.024,2.5,-19.6,2.174,0.3500,6.0000
1788371723.831,2.253,1.026,2.5,-20.2,2.114,0.3500,6.0000
1788371724.057,2.321,1.027,1.9,-17.4,2.057,0.1273,0.0000
1788371724.285,2.382,1.029,1.9,-19.3,1.998,0.2545,0.0000
1788371724.495,2.445,1.022,0.6,-19.2,1.940,0.3500,0.0000
1788371724.705,2.506,1.023,0.6,-20.5,1.881,0.3182,0.0000
1788371724.934,2.564,1.016,0.4,-20.8,1.823,0.2864,0.0000
1788371725.155,2.625,1.016,0.4,-14.8,1.766,0.1591,0.0000
1788371725.371,2.684,1.016,0.2,-16.3,1.710,0.0955,0.0000
1788371725.585,2.735,1.016,0.2,-17.8,1.656,0.0636,0.0000
1788371725.820,2.766,1.017,0.7,-19.0,1.603,0.0636,0.0000
1788371726.033,2.828,1.018,0.7,-14.0,1.552,0.0318,0.0000
1788371726.245,2.891,1.026,0.6,-16.6,1.502,0.0636,0.0000
1788371726.473,2.952,1.026,0.6,-18.5,1.455,0.0318,0.0000
1788371726.687,3.038,1.031,0.6,-21.4,1.411,0.0955,0.0000
1788371726.903,3.099,1.032,0.6,-23.3,1.370,0.3500,6.0000
1788371727.114,3.151,1.028,0.3,-15.5,1.337,0.3500,6.0000
1788371727.353,3.202,1.028,0.3,-17.0,1.329,0.0636,0.0000
1788371727.566,3.259,1.028,0.6,-18.5,3.909,0.2864,0.0000
1788371727.776,3.319,1.029,0.6,-20.3,3.850,0.2227,0.0000
1788371727.999,3.364,1.015,-0.8,-18.5,3.792,0.2864,0.0000
1788371728.224,3.422,1.014,-0.8,-18.1,3.735,0.0636,0.0000
