t_wall,topic,vx,wz,px,py,extra
1788372118.435,follow_state,,,,,idle
1788372119.621,odom,0.0000,0.0000,0.000,-0.000,
1788372119.659,odom,0.0000,0.0000,0.000,-0.000,
1788372119.741,odom,0.0000,0.0000,0.000,-0.000,
1788372119.878,odom,0.0000,0.0000,0.000,-0.000,
1788372119.915,odom,0.0000,0.0000,0.000,-0.000,
1788372119.950,odom,0.0000,-0.0000,0.000,-0.000,
1788372119.984,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.019,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.054,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.089,odom,0.0000,0.0000,0.000,-0.000,
1788372120.123,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.169,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.203,odom,-0.0000,-0.0000,0.000,-0.000,
1788372120.237,odom,0.0000,0.0000,0.000,-0.000,
1788372120.273,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.309,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.343,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.377,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.412,odom,0.0000,0.0000,0.000,-0.000,
1788372120.450,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.491,odom,0.0000,0.0000,0.000,-0.000,
1788372120.546,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.586,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.637,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.674,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.709,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.751,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.786,odom,0.0000,0.0000,0.000,-0.000,
1788372120.820,odom,0.0000,-0.0000,0.000,-0.000,
1788372120.854,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.890,odom,-0.0000,0.0000,0.000,-0.000,
1788372120.925,odom,0.0000,0.0000,0.000,-0.000,
1788372120.959,odom,0.0000,0.0000,0.000,-0.000,
1788372120.994,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.035,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.075,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.112,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.153,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.191,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.233,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.283,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.332,odom,0.0000,0.0000,0.000,-0.000,
1788372121.381,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.430,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.474,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.510,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.546,odom,0.0000,0.0000,0.000,-0.000,
1788372121.583,odom,0.0000,0.0000,0.000,-0.000,
1788372121.620,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.659,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.696,odom,0.0000,0.0000,0.000,-0.000,
1788372121.730,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.765,odom,0.0000,0.0000,0.000,-0.000,
1788372121.806,odom,0.0000,0.0000,0.000,-0.000,
1788372121.843,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.886,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.928,odom,-0.0000,0.0000,0.000,-0.000,
1788372121.975,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.017,odom,0.0000,0.0000,0.000,-0.000,
1788372122.059,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.096,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.132,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.169,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.204,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.240,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.278,odom,-0.0000,0.0000,0.000,-0.000,
1788372122.316,odom,-0.0000,0.0000,-0.000,-0.000,
1788372122.357,odom,-0.0000,0.0000,-0.000,-0.000,
1788372122.393,odom,-0.0000,0.0000,-0.000,-0.000,
