t_wall,px,py,yaw_deg,plan_rel_deg,front_obst_m,cmd_nav_vx,cmd_nav_wz
1788372121.402,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372121.634,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372121.852,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372122.100,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372122.315,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372122.529,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372122.761,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372122.975,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372123.185,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372123.396,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372123.623,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372123.834,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372124.044,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372124.270,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372124.495,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372124.701,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372124.904,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372125.148,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372125.365,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372125.574,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372125.804,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372126.036,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372126.246,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372126.449,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372126.672,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372126.886,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372127.095,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372127.307,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372127.539,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372127.823,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372128.026,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372128.248,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372128.460,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372128.665,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372128.882,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372129.112,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372129.316,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372129.524,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372129.753,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372129.974,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372130.222,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372130.470,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372130.695,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372130.902,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372131.110,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372131.331,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372131.557,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372131.768,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372132.002,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372132.236,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372132.446,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372132.665,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372132.886,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372133.113,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372133.330,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372133.540,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372133.775,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372133.987,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372134.190,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372134.407,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372134.626,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372134.831,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372135.040,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372135.263,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372135.488,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372135.703,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372135.914,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372136.141,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372136.353,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372136.564,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372136.791,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372137.016,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372137.220,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372137.429,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372137.661,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372137.873,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372138.081,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372138.305,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372138.529,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372138.733,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372138.941,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372139.168,1.000,1.000,0.0,,3.367,0.0000,0.0000
1788372139.384,1.000,1.000,0.0,,3.367,0.0000,0.0000
