t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788372741.366,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788372741.428,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788372741.494,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.477,4.074,0.3,0.0,1.5,1.56
1788372741.574,driving,1.007,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.523,4.07,0.3,0.0,1.5,1.56
1788372741.653,driving,1.021,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.056,0.3,0.0,1.5,1.56
1788372741.725,driving,1.03,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.5,4.047,0.3,0.0,1.5,1.56
1788372741.785,driving,1.05,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.48,4.027,0.3,0.0,1.5,1.56
1788372741.845,driving,1.06,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.52,4.016,0.3,0.0,1.5,1.56
1788372741.899,driving,1.081,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.499,3.996,0.3,0.0,1.5,1.56
1788372741.955,driving,1.091,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.489,3.986,0.3,0.0,1.5,1.56
1788372742.01,driving,1.101,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.479,3.976,0.3,0.0,1.5,1.56
1788372742.063,driving,1.122,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.509,3.955,0.3,0.0,1.5,1.56
1788372742.113,driving,1.132,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.498,3.945,0.3,0.0,1.5,1.56
1788372742.167,driving,1.152,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.478,3.925,0.3,0.0,1.5,1.56
1788372742.217,driving,1.162,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.518,3.915,0.3,0.0,1.5,1.56
1788372742.275,driving,1.183,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.497,3.894,0.3,0.0,1.5,1.56
1788372742.336,driving,1.193,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.487,3.884,0.3,0.0,1.5,1.56
1788372742.405,driving,1.213,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.517,3.864,0.3,0.0,1.5,1.56
1788372742.462,driving,1.224,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.507,3.853,0.3,0.0,1.5,1.56
1788372742.519,driving,1.245,1.001,0.2,0,30,78,2.725,0.875,-5.0,1.485,3.832,0.3,0.0,1.5,1.56
1788372742.576,driving,1.256,1.001,0.4,1,31,78,2.775,0.875,-5.2,1.524,3.821,0.3,0.0,1.5,1.56
1788372742.631,driving,1.277,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.503,3.8,0.3,0.0,1.5,1.56
1788372742.689,driving,1.287,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.493,3.79,0.3,0.0,1.5,1.56
1788372742.745,driving,1.308,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.523,3.77,0.3,0.0,1.5,1.56
1788372742.801,driving,1.318,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.513,3.759,0.3,0.0,1.5,1.56
1788372742.857,driving,1.338,1.003,0.5,2,32,78,2.825,0.875,-5.3,1.492,3.739,0.3,0.0,1.5,1.56
1788372742.91,driving,1.348,1.003,0.5,2,32,78,2.825,0.875,-5.3,1.482,3.729,0.3,0.0,1.5,1.56
1788372742.965,driving,1.357,1.003,0.6,2,32,78,2.825,0.875,-5.5,1.474,3.72,0.3,0.0,1.5,1.56
1788372743.017,driving,1.369,1.005,1.1,3,33,78,2.875,0.875,-6.0,1.511,3.708,0.3,0.0,1.5,1.56
1788372743.075,driving,1.378,1.006,1.3,3,33,78,2.875,0.875,-6.1,1.503,3.7,0.3,0.0,1.5,1.56
1788372743.134,driving,1.398,1.006,1.3,3,33,78,2.875,0.875,-6.1,1.483,3.679,0.3,0.0,1.5,1.56
1788372743.196,driving,1.408,1.006,1.3,3,33,78,2.875,0.875,-6.1,1.472,3.669,0.3,0.0,1.5,1.56
1788372743.255,driving,1.429,1.007,1.3,4,34,78,2.925,0.875,-6.1,1.502,3.649,0.3,0.0,1.5,1.56
1788372743.316,driving,1.439,1.007,1.3,4,34,78,2.925,0.875,-6.1,1.492,3.638,0.3,0.0,1.5,1.56
