t,x,y,yaw_deg,folga_min,obj,evento
0.26,1.000,1.000,-0.0,0.7500,muro_oeste,
0.31,1.000,1.000,-0.0,0.7500,muro_oeste,
0.36,1.000,1.000,-0.0,0.7500,muro_oeste,
0.41,1.000,1.000,-0.0,0.7500,muro_oeste,
0.46,1.000,1.000,-0.0,0.7500,muro_oeste,
0.51,1.000,1.000,-0.0,0.7500,muro_oeste,
0.64,1.000,1.000,-0.0,0.7500,muro_oeste,
0.74,1.000,1.000,-0.0,0.7500,muro_oeste,
0.80,1.000,1.000,-0.0,0.7500,muro_oeste,
0.86,1.000,1.000,-0.0,0.7500,muro_oeste,
0.91,1.000,1.000,-0.0,0.7500,muro_oeste,
0.96,1.000,1.000,-0.0,0.7500,muro_oeste,
1.01,1.000,1.000,-0.0,0.7500,muro_oeste,
1.06,1.000,1.000,-0.0,0.7500,muro_oeste,
1.11,1.000,1.000,-0.0,0.7500,muro_oeste,
1.16,1.000,1.000,-0.0,0.7500,muro_oeste,
1.22,1.000,1.000,-0.0,0.7500,muro_oeste,
1.27,1.000,1.000,-0.0,0.7500,muro_oeste,
1.32,1.000,1.000,-0.0,0.7500,muro_oeste,
1.37,1.000,1.000,-0.0,0.7500,muro_oeste,
1.42,1.000,1.000,-0.0,0.7500,muro_oeste,
1.47,1.000,1.000,-0.0,0.7500,muro_oeste,
1.53,1.000,1.000,-0.0,0.7500,muro_oeste,
1.58,1.000,1.000,-0.0,0.7500,muro_oeste,
1.63,1.000,1.000,-0.0,0.7500,muro_oeste,
1.68,1.000,1.000,-0.0,0.7500,muro_oeste,
1.73,1.000,1.000,-0.0,0.7500,muro_oeste,
1.78,1.000,1.000,-0.0,0.7500,muro_oeste,
1.83,1.000,1.000,-0.0,0.7500,muro_oeste,
1.88,1.000,1.000,-0.0,0.7500,muro_oeste,
1.94,1.000,1.000,-0.0,0.7500,muro_oeste,
1.99,1.000,1.000,-0.0,0.7500,muro_oeste,
2.04,1.000,1.000,-0.0,0.7500,muro_oeste,
2.09,1.000,1.000,-0.0,0.7500,muro_oeste,
2.14,1.000,1.000,-0.0,0.7500,muro_oeste,
2.19,1.000,1.000,-0.0,0.7500,muro_oeste,
2.25,1.000,1.000,-0.0,0.7500,muro_oeste,
2.30,1.000,1.000,-0.0,0.7500,muro_oeste,
2.35,1.000,1.000,-0.0,0.7500,muro_oeste,
2.40,1.000,1.000,-0.0,0.7500,muro_oeste,
2.45,1.000,1.000,-0.0,0.7500,muro_oeste,
2.50,1.000,1.000,-0.0,0.7500,muro_oeste,
2.55,1.000,1.000,-0.0,0.7500,muro_oeste,
2.61,1.000,1.000,-0.0,0.7500,muro_oeste,
2.66,1.000,1.000,-0.0,0.7500,muro_oeste,
2.71,1.000,1.000,-0.0,0.7500,muro_oeste,
2.76,1.000,1.000,-0.0,0.7500,muro_oeste,
2.81,1.000,1.000,-0.0,0.7500,muro_oeste,
2.86,1.000,1.000,-0.0,0.7500,muro_oeste,
2.92,1.000,1.000,-0.0,0.7500,muro_oeste,
2.97,1.000,1.000,-0.0,0.7500,muro_oeste,
3.02,1.000,1.000,-0.0,0.7500,muro_oeste,
3.08,1.000,1.000,-0.0,0.7500,muro_oeste,
3.13,1.000,1.000,-0.0,0.7500,muro_oeste,
3.18,1.000,1.000,-0.0,0.7500,muro_oeste,
3.23,1.000,1.000,-0.0,0.7500,muro_oeste,
3.28,1.000,1.000,-0.0,0.7500,muro_oeste,
3.33,1.000,1.000,-0.0,0.7500,muro_oeste,
3.38,1.000,1.000,-0.0,0.7500,muro_oeste,
3.44,1.000,1.000,-0.0,0.7500,muro_oeste,
3.49,1.000,1.000,-0.0,0.7500,muro_oeste,
3.54,1.002,1.000,0.0,0.7500,muro_sul,
3.59,1.008,1.000,0.0,0.7500,muro_sul,
3.64,1.017,1.000,0.0,0.7500,muro_sul,
3.69,1.028,1.000,0.0,0.7500,muro_sul,
3.75,1.041,1.000,0.0,0.7500,muro_sul,
3.80,1.056,1.000,0.0,0.7500,muro_sul,
3.85,1.070,1.000,0.0,0.7500,muro_sul,
3.90,1.085,1.000,0.0,0.7500,muro_sul,
3.95,1.099,1.000,0.0,0.7500,muro_sul,
4.00,1.113,1.000,0.0,0.7500,muro_sul,
4.06,1.126,1.000,0.0,0.7500,muro_sul,
4.11,1.140,1.000,0.0,0.7500,muro_sul,
4.16,1.154,1.000,0.0,0.7500,muro_sul,
4.21,1.168,1.000,0.0,0.7500,muro_sul,
4.26,1.183,1.000,0.0,0.7500,muro_sul,
4.31,1.197,1.000,0.0,0.7500,muro_sul,
4.37,1.211,1.000,0.0,0.7500,muro_sul,
4.42,1.225,1.000,0.0,0.7500,muro_sul,
4.47,1.238,1.000,0.0,0.7500,muro_sul,
4.52,1.252,1.000,0.0,0.7500,muro_sul,
4.57,1.265,1.000,0.0,0.7500,muro_sul,
4.63,1.280,1.000,0.0,0.7500,muro_sul,
4.68,1.294,1.000,0.0,0.7500,muro_sul,
4.73,1.309,1.000,0.0,0.7500,muro_sul,
4.78,1.323,1.000,0.0,0.7500,muro_sul,
4.83,1.338,1.000,0.0,0.7500,muro_sul,
4.88,1.352,1.000,0.0,0.7500,muro_sul,
4.94,1.367,1.000,0.0,0.7500,muro_sul,
4.99,1.381,1.000,0.0,0.7500,muro_sul,
5.04,1.396,1.000,0.0,0.7500,muro_sul,
5.09,1.410,1.000,0.0,0.7500,muro_sul,
5.14,1.424,1.000,0.0,0.7500,muro_sul,
5.19,1.436,1.000,0.0,0.7500,muro_sul,
5.25,1.450,1.000,0.0,0.7500,muro_sul,
5.30,1.463,1.000,0.0,0.7500,muro_sul,
5.35,1.476,1.000,0.0,0.7500,muro_sul,
5.40,1.490,1.000,0.0,0.7500,muro_sul,
5.45,1.504,1.000,0.0,0.7500,muro_sul,
5.50,1.519,1.000,0.0,0.7500,muro_sul,
5.55,1.533,1.000,0.0,0.7500,muro_sul,
5.61,1.545,1.000,0.0,0.7500,muro_sul,
5.66,1.558,1.000,0.0,0.7500,muro_sul,
5.71,1.572,1.000,0.0,0.7500,muro_sul,
5.76,1.585,1.000,0.0,0.7500,muro_sul,
5.82,1.600,1.000,0.0,0.7500,muro_sul,
5.87,1.613,1.000,0.0,0.7500,muro_sul,
5.92,1.627,1.000,0.0,0.7500,muro_sul,
5.97,1.641,1.000,0.0,0.7500,muro_sul,
6.02,1.654,1.000,0.0,0.7500,muro_sul,
6.08,1.667,1.000,0.0,0.7500,muro_sul,
6.13,1.680,1.000,0.0,0.7500,muro_sul,
6.18,1.693,1.000,0.0,0.7500,muro_sul,
6.23,1.708,1.000,0.0,0.7500,muro_sul,
6.28,1.722,1.000,0.0,0.7500,muro_sul,
6.34,1.737,1.000,0.0,0.7500,muro_sul,
6.39,1.752,1.000,0.0,0.7500,muro_sul,
6.44,1.766,1.000,0.0,0.7500,muro_sul,
6.49,1.780,1.000,0.0,0.7500,muro_sul,
