t,x,y,yaw_deg,folga_min,obj,evento
0.21,1.000,1.000,-0.0,0.7500,muro_oeste,
0.26,1.000,1.000,-0.0,0.7500,muro_oeste,
0.32,1.000,1.000,-0.0,0.7500,muro_oeste,
0.37,1.000,1.000,-0.0,0.7500,muro_oeste,
0.42,1.000,1.000,-0.0,0.7500,muro_oeste,
0.47,1.000,1.000,-0.0,0.7500,muro_oeste,
0.52,1.000,1.000,-0.0,0.7500,muro_oeste,
0.57,1.000,1.000,-0.0,0.7500,muro_oeste,
0.62,1.000,1.000,-0.0,0.7500,muro_oeste,
0.67,1.000,1.000,-0.0,0.7500,muro_oeste,
0.73,1.000,1.000,-0.0,0.7500,muro_oeste,
0.78,1.000,1.000,-0.0,0.7500,muro_oeste,
0.83,1.000,1.000,-0.0,0.7500,muro_oeste,
0.88,1.000,1.000,-0.0,0.7500,muro_oeste,
0.93,1.000,1.000,-0.0,0.7500,muro_oeste,
0.98,1.000,1.000,-0.0,0.7500,muro_oeste,
1.03,1.000,1.000,-0.0,0.7500,muro_oeste,
1.16,1.000,1.000,-0.0,0.7500,muro_oeste,
1.26,1.000,1.000,-0.0,0.7500,muro_oeste,
1.31,1.000,1.000,-0.0,0.7500,muro_oeste,
1.36,1.000,1.000,-0.0,0.7500,muro_oeste,
1.41,1.000,1.000,-0.0,0.7500,muro_oeste,
1.46,1.000,1.000,-0.0,0.7500,muro_oeste,
1.51,1.000,1.000,-0.0,0.7500,muro_oeste,
1.56,1.000,1.000,-0.0,0.7500,muro_oeste,
1.62,1.000,1.000,-0.0,0.7500,muro_oeste,
1.67,1.000,1.000,-0.0,0.7500,muro_oeste,
1.72,1.000,1.000,-0.0,0.7500,muro_oeste,
1.77,1.000,1.000,-0.0,0.7500,muro_oeste,
1.82,1.000,1.000,-0.0,0.7500,muro_oeste,
1.87,1.000,1.000,-0.0,0.7500,muro_oeste,
1.92,1.000,1.000,-0.0,0.7500,muro_oeste,
1.98,1.000,1.000,-0.0,0.7500,muro_oeste,
2.03,1.000,1.000,-0.0,0.7500,muro_oeste,
2.08,1.000,1.000,-0.0,0.7500,muro_oeste,
2.13,1.000,1.000,-0.0,0.7500,muro_oeste,
2.18,1.000,1.000,-0.0,0.7500,muro_oeste,
2.23,1.000,1.000,-0.0,0.7500,muro_oeste,
2.28,1.000,1.000,-0.0,0.7500,muro_oeste,
2.33,1.000,1.000,-0.0,0.7500,muro_oeste,
2.38,1.000,1.000,-0.0,0.7500,muro_oeste,
2.44,1.000,1.000,-0.0,0.7500,muro_oeste,
2.49,1.000,1.000,-0.0,0.7500,muro_oeste,
2.54,1.000,1.000,-0.0,0.7500,muro_oeste,
2.59,1.000,1.000,-0.0,0.7500,muro_oeste,
2.64,1.000,1.000,-0.0,0.7500,muro_oeste,
2.69,1.000,1.000,-0.0,0.7500,muro_oeste,
2.74,1.000,1.000,-0.0,0.7500,muro_oeste,
2.79,1.000,1.000,-0.0,0.7500,muro_oeste,
2.84,1.000,1.000,-0.0,0.7500,muro_oeste,
2.89,1.000,1.000,-0.0,0.7500,muro_oeste,
2.95,1.000,1.000,-0.0,0.7500,muro_oeste,
3.00,1.000,1.000,-0.0,0.7500,muro_oeste,
3.05,1.000,1.000,-0.0,0.7500,muro_oeste,
3.10,1.000,1.000,-0.0,0.7500,muro_oeste,
3.15,1.000,1.000,-0.0,0.7500,muro_oeste,
3.20,1.000,1.000,-0.0,0.7500,muro_oeste,
3.25,1.000,1.000,-0.0,0.7500,muro_oeste,
3.30,1.000,1.000,-0.0,0.7500,muro_oeste,
3.36,1.000,1.000,-0.0,0.7500,muro_oeste,
3.41,1.000,1.000,-0.0,0.7500,muro_oeste,
3.46,1.000,1.000,-0.0,0.7500,muro_oeste,
3.51,1.000,1.000,-0.0,0.7500,muro_oeste,
3.56,1.000,1.000,-0.0,0.7500,muro_oeste,
3.61,1.000,1.000,-0.0,0.7500,muro_oeste,
3.66,1.000,1.000,-0.0,0.7500,muro_oeste,
3.72,1.000,1.000,-0.0,0.7500,muro_oeste,
3.77,1.000,1.000,-0.0,0.7500,muro_oeste,
3.82,1.000,1.000,-0.0,0.7500,muro_oeste,
3.87,1.000,1.000,-0.0,0.7500,muro_oeste,
3.92,1.000,1.000,-0.0,0.7500,muro_oeste,
3.97,1.000,1.000,-0.0,0.7500,muro_oeste,
4.02,1.000,1.000,-0.0,0.7500,muro_oeste,
4.07,1.000,1.000,-0.0,0.7500,muro_oeste,
4.13,1.000,1.000,-0.0,0.7500,muro_oeste,
4.18,1.000,1.000,-0.0,0.7500,muro_oeste,
4.23,1.000,1.000,-0.0,0.7500,muro_oeste,
4.30,1.000,1.000,-0.0,0.7500,muro_oeste,
4.35,1.000,1.000,-0.0,0.7500,muro_oeste,
4.40,1.000,1.000,-0.0,0.7500,muro_oeste,
4.45,1.000,1.000,-0.0,0.7500,muro_oeste,
4.50,1.000,1.000,-0.0,0.7500,muro_oeste,
4.56,1.000,1.000,-0.0,0.7500,muro_oeste,
4.61,1.000,1.000,0.0,0.7500,muro_sul,
4.66,1.004,1.000,0.0,0.7500,muro_sul,
4.71,1.011,1.000,0.0,0.7500,muro_sul,
4.76,1.022,1.000,0.0,0.7500,muro_sul,
4.81,1.037,1.000,0.0,0.7500,muro_sul,
4.87,1.052,1.000,0.0,0.7500,muro_sul,
4.92,1.067,1.000,0.0,0.7500,muro_sul,
4.97,1.082,1.000,0.0,0.7500,muro_sul,
5.02,1.097,1.000,0.0,0.7500,muro_sul,
5.07,1.112,1.000,0.0,0.7500,muro_sul,
5.12,1.128,1.000,0.0,0.7500,muro_sul,
5.18,1.143,1.000,0.0,0.7500,muro_sul,
5.23,1.156,1.000,0.0,0.7500,muro_sul,
5.28,1.172,1.000,0.0,0.7500,muro_sul,
5.33,1.187,1.000,0.0,0.7500,muro_sul,
5.38,1.202,1.000,0.0,0.7500,muro_sul,
5.43,1.217,1.000,0.0,0.7500,muro_sul,
5.48,1.233,1.000,0.0,0.7500,muro_sul,
5.53,1.248,1.000,0.0,0.7500,muro_sul,
5.59,1.263,1.000,0.0,0.7500,muro_sul,
5.64,1.277,1.000,0.0,0.7500,muro_sul,
5.69,1.291,1.000,0.0,0.7500,muro_sul,
5.74,1.305,1.000,0.0,0.7500,muro_sul,
5.79,1.320,1.000,0.0,0.7500,muro_sul,
5.84,1.334,1.000,0.0,0.7500,muro_sul,
5.89,1.348,1.000,0.0,0.7500,muro_sul,
5.95,1.364,1.000,0.0,0.7500,muro_sul,
6.00,1.378,1.000,0.0,0.7500,muro_sul,
6.05,1.393,1.000,0.0,0.7500,muro_sul,
6.10,1.408,1.000,0.0,0.7500,muro_sul,
6.15,1.423,1.000,0.0,0.7500,muro_sul,
6.20,1.437,1.000,0.0,0.7500,muro_sul,
6.25,1.452,1.000,0.0,0.7500,muro_sul,
6.31,1.467,1.000,0.0,0.7500,muro_sul,
