t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788463030.035,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788463030.086,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788463030.14,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788463030.191,driving,1.007,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.523,4.07,0.3,0.0,1.5,1.56
1788463030.245,driving,1.02,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.057,0.3,0.0,1.5,1.56
1788463030.298,driving,1.029,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.501,4.048,0.3,0.0,1.5,1.56
1788463030.354,driving,1.049,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.481,4.028,0.3,0.0,1.5,1.56
1788463030.407,driving,1.06,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.521,4.017,0.3,0.0,1.5,1.56
1788463030.461,driving,1.07,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.51,4.007,0.3,0.0,1.5,1.56
1788463030.512,driving,1.09,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.49,3.987,0.3,0.0,1.5,1.56
1788463030.568,driving,1.1,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.48,3.977,0.3,0.0,1.5,1.56
1788463030.623,driving,1.121,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.509,3.956,0.3,0.0,1.5,1.56
1788463030.68,driving,1.131,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.499,3.946,0.3,0.0,1.5,1.56
1788463030.736,driving,1.151,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.479,3.926,0.3,0.0,1.5,1.56
1788463030.795,driving,1.162,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.519,3.915,0.3,0.0,1.5,1.56
1788463030.852,driving,1.182,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.498,3.895,0.3,0.0,1.5,1.56
1788463030.906,driving,1.192,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.488,3.885,0.3,0.0,1.5,1.56
1788463030.957,driving,1.213,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.518,3.864,0.3,0.0,1.5,1.56
1788463031.008,driving,1.223,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.507,3.854,0.3,0.0,1.5,1.56
1788463031.061,driving,1.243,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.487,3.834,0.3,0.0,1.5,1.56
1788463031.111,driving,1.254,1.0,0.1,0,30,78,2.725,0.875,-4.9,1.477,3.823,0.3,0.0,1.5,1.56
1788463031.163,driving,1.275,1.001,0.4,1,31,78,2.775,0.875,-5.2,1.505,3.802,0.3,0.0,1.5,1.56
1788463031.215,driving,1.286,1.002,0.4,1,31,78,2.775,0.875,-5.2,1.495,3.792,0.3,0.0,1.5,1.56
1788463031.268,driving,1.306,1.002,0.4,1,31,78,2.775,0.875,-5.2,1.475,3.771,0.3,0.0,1.5,1.56
1788463031.319,driving,1.316,1.002,0.4,2,32,78,2.825,0.875,-5.2,1.514,3.761,0.3,0.0,1.5,1.56
1788463031.374,driving,1.326,1.002,0.4,2,32,78,2.825,0.875,-5.2,1.504,3.751,0.3,0.0,1.5,1.56
1788463031.431,driving,1.347,1.002,0.4,2,32,78,2.825,0.875,-5.2,1.484,3.73,0.3,0.0,1.5,1.56
1788463031.492,driving,1.357,1.002,0.4,2,32,78,2.825,0.875,-5.2,1.474,3.72,0.3,0.0,1.5,1.56
1788463031.556,driving,1.372,1.003,0.5,3,33,78,2.875,0.875,-5.3,1.508,3.705,0.3,0.0,1.5,1.56
1788463031.608,driving,1.378,1.003,0.5,3,33,78,2.875,0.875,-5.4,1.503,3.699,0.3,0.0,1.5,1.56
1788463031.66,driving,1.394,1.004,0.6,3,33,78,2.875,0.875,-5.4,1.486,3.683,0.3,0.0,1.5,1.56
1788463031.711,driving,1.404,1.004,0.6,3,33,78,2.875,0.875,-5.4,1.476,3.673,0.3,0.0,1.5,1.56
1788463031.766,driving,1.425,1.004,0.6,4,34,78,2.925,0.875,-5.4,1.506,3.652,0.3,0.0,1.5,1.56
1788463031.819,driving,1.435,1.004,0.6,4,34,78,2.925,0.875,-5.4,1.496,3.642,0.3,0.0,1.5,1.56
1788463031.873,driving,1.455,1.004,0.6,4,34,78,2.925,0.875,-5.4,1.475,3.622,0.3,0.0,1.5,1.56
1788463031.926,driving,1.466,1.004,0.6,5,35,78,2.975,0.875,-5.4,1.515,3.612,0.3,0.0,1.5,1.56
1788463031.979,driving,1.485,1.006,0.8,5,35,78,2.975,0.875,-5.6,1.495,3.592,0.3,0.0,1.5,1.56
1788463032.032,driving,1.495,1.007,0.9,5,35,78,2.975,0.875,-5.8,1.486,3.582,0.3,0.0,1.5,1.56
1788463032.084,driving,1.515,1.009,1.0,1,31,73,3.025,0.875,-5.9,1.516,3.562,0.3,0.0,1.5,1.56
1788463032.141,driving,1.526,1.009,1.0,1,31,73,3.025,0.875,-5.9,1.505,3.552,0.3,0.0,1.5,1.56
1788463032.202,driving,1.546,1.009,1.0,1,31,73,3.025,0.875,-5.9,1.485,3.532,0.3,0.0,1.5,1.56
1788463032.264,driving,1.556,1.009,1.0,2,32,73,3.075,0.875,-5.9,1.525,3.521,0.3,0.0,1.5,1.56
1788463032.323,driving,1.566,1.009,1.0,2,32,73,3.075,0.875,-5.9,1.515,3.511,0.3,0.0,1.5,1.56
1788463032.377,driving,1.587,1.01,1.0,2,32,73,3.075,0.875,-5.9,1.494,3.491,0.3,0.0,1.5,1.56
1788463032.431,driving,1.595,1.009,0.9,2,32,73,3.075,0.875,-5.8,1.486,3.482,0.3,0.0,1.5,1.56
1788463032.482,driving,1.609,1.008,0.6,3,33,73,3.125,0.875,-5.5,1.522,3.469,0.3,0.0,1.5,1.56
1788463032.535,driving,1.618,1.007,0.6,3,33,73,3.125,0.875,-5.5,1.513,3.46,0.3,0.0,1.5,1.56
1788463032.585,driving,1.638,1.007,0.6,3,33,73,3.125,0.875,-5.5,1.493,3.44,0.3,0.0,1.5,1.56
1788463032.637,driving,1.648,1.008,0.6,3,33,73,3.125,0.875,-5.5,1.483,3.429,0.3,0.0,1.5,1.56
1788463032.687,driving,1.669,1.008,0.6,4,34,73,3.175,0.875,-5.5,1.512,3.409,0.3,0.0,1.5,1.56
