t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788456344.622,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788456344.676,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.076,0.3,0.0,1.5,1.56
1788456344.733,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788456344.793,driving,1.012,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.518,4.065,0.3,0.0,1.5,1.56
1788456344.853,driving,1.02,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.511,4.057,0.3,0.0,1.5,1.56
1788456344.914,driving,1.039,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.491,4.038,0.3,0.0,1.5,1.56
1788456344.968,driving,1.049,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.481,4.028,0.3,0.0,1.5,1.56
1788456345.025,driving,1.069,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.511,4.008,0.3,0.0,1.5,1.56
1788456345.084,driving,1.08,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.501,3.997,0.3,0.0,1.5,1.56
1788456345.151,driving,1.1,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.48,3.977,0.3,0.0,1.5,1.56
1788456345.219,driving,1.11,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.52,3.967,0.3,0.0,1.5,1.56
1788456345.289,driving,1.131,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.5,3.946,0.3,0.0,1.5,1.56
1788456345.355,driving,1.141,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.489,3.936,0.3,0.0,1.5,1.56
1788456345.418,driving,1.161,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.519,3.916,0.3,0.0,1.5,1.56
1788456345.475,driving,1.171,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.509,3.906,0.3,0.0,1.5,1.56
1788456345.532,driving,1.182,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.499,3.895,0.3,0.0,1.5,1.56
1788456345.583,driving,1.202,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.478,3.875,0.3,0.0,1.5,1.56
1788456345.639,driving,1.212,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.518,3.865,0.3,0.0,1.5,1.56
1788456345.696,driving,1.233,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.498,3.844,0.3,0.0,1.5,1.56
1788456345.751,driving,1.243,1.0,0.1,0,30,78,2.725,0.875,-4.9,1.487,3.834,0.3,0.0,1.5,1.56
1788456345.807,driving,1.264,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.516,3.813,0.3,0.0,1.5,1.56
1788456345.859,driving,1.275,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.506,3.802,0.3,0.0,1.5,1.56
1788456345.918,driving,1.295,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.485,3.782,0.3,0.0,1.5,1.56
1788456345.984,driving,1.305,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.475,3.772,0.3,0.0,1.5,1.56
1788456346.049,driving,1.326,1.002,0.3,2,32,78,2.825,0.875,-5.2,1.505,3.751,0.3,0.0,1.5,1.56
1788456346.115,driving,1.336,1.002,0.3,2,32,78,2.825,0.875,-5.2,1.494,3.741,0.3,0.0,1.5,1.56
1788456346.18,driving,1.356,1.002,0.3,2,32,78,2.825,0.875,-5.2,1.474,3.721,0.3,0.0,1.5,1.56
1788456346.24,driving,1.365,1.003,0.6,3,33,78,2.875,0.875,-5.4,1.516,3.713,0.3,0.0,1.5,1.56
1788456346.298,driving,1.38,1.006,1.2,3,33,78,2.875,0.875,-6.0,1.5,3.697,0.3,0.0,1.5,1.56
1788456346.361,driving,1.39,1.006,1.2,3,33,78,2.875,0.875,-6.0,1.49,3.687,0.3,0.0,1.5,1.56
1788456346.417,driving,1.411,1.006,1.2,4,34,78,2.925,0.875,-6.0,1.52,3.667,0.3,0.0,1.5,1.56
1788456346.479,driving,1.421,1.007,1.2,4,34,78,2.925,0.875,-6.0,1.51,3.656,0.3,0.0,1.5,1.56
1788456346.538,driving,1.431,1.007,1.2,4,34,78,2.925,0.875,-6.0,1.5,3.646,0.3,0.0,1.5,1.56
1788456346.597,driving,1.452,1.007,1.2,4,34,78,2.925,0.875,-6.0,1.479,3.626,0.3,0.0,1.5,1.56
1788456346.652,driving,1.462,1.007,1.2,5,35,78,2.975,0.875,-6.1,1.519,3.616,0.3,0.0,1.5,1.56
1788456346.72,driving,1.481,1.008,1.1,0,30,73,2.975,0.875,-6.0,1.5,3.597,0.3,0.0,1.5,1.56
1788456346.792,driving,1.489,1.007,1.1,0,30,73,2.975,0.875,-6.0,1.492,3.588,0.3,0.0,1.5,1.56
1788456346.858,driving,1.508,1.007,1.1,1,31,73,3.025,0.875,-5.9,1.522,3.569,0.3,0.0,1.5,1.56
1788456346.931,driving,1.519,1.008,1.1,1,31,73,3.025,0.875,-5.9,1.512,3.559,0.3,0.0,1.5,1.56
1788456347.001,driving,1.539,1.008,1.1,1,31,73,3.025,0.875,-5.9,1.492,3.538,0.3,0.0,1.5,1.56
1788456347.068,driving,1.549,1.008,1.1,2,32,73,3.075,0.875,-5.9,1.532,3.528,0.3,0.0,1.5,1.56
1788456347.13,driving,1.57,1.009,1.1,2,32,73,3.075,0.875,-5.9,1.511,3.508,0.3,0.0,1.5,1.56
1788456347.19,driving,1.58,1.009,1.1,2,32,73,3.075,0.875,-5.9,1.501,3.498,0.3,0.0,1.5,1.56
1788456347.251,driving,1.598,1.007,0.8,2,32,73,3.075,0.875,-5.7,1.482,3.479,0.3,0.0,1.5,1.56
1788456347.303,driving,1.607,1.006,0.5,3,33,73,3.125,0.875,-5.4,1.523,3.47,0.3,0.0,1.5,1.56
1788456347.356,driving,1.627,1.005,0.4,3,33,73,3.125,0.875,-5.3,1.504,3.451,0.3,0.0,1.5,1.56
1788456347.412,driving,1.637,1.005,0.4,3,33,73,3.125,0.875,-5.3,1.494,3.44,0.3,0.0,1.5,1.56
1788456347.468,driving,1.657,1.005,0.4,4,34,73,3.175,0.875,-5.3,1.523,3.42,0.3,0.0,1.5,1.56
1788456347.529,driving,1.668,1.005,0.4,4,34,73,3.175,0.875,-5.3,1.513,3.41,0.3,0.0,1.5,1.56
1788456347.589,driving,1.678,1.006,0.4,4,34,73,3.175,0.875,-5.3,1.503,3.4,0.3,0.0,1.5,1.56
1788456347.653,driving,1.698,1.006,0.4,4,34,73,3.175,0.875,-5.3,1.483,3.379,0.3,0.0,1.5,1.56
1788456347.715,driving,1.708,1.005,0.3,1,31,69,3.225,0.875,-5.2,1.523,3.37,0.3,0.0,1.5,1.56
1788456347.769,driving,1.725,1.004,0.1,1,31,69,3.225,0.875,-5.0,1.506,3.353,0.3,0.0,1.5,1.56
1788456347.821,driving,1.734,1.003,0.0,1,31,69,3.225,0.875,-4.9,1.496,3.343,0.3,0.0,1.5,1.56
1788456347.872,driving,1.755,1.003,0.0,2,32,69,3.275,0.875,-4.9,1.526,3.323,0.3,0.0,1.5,1.56
1788456347.931,driving,1.765,1.003,0.0,2,32,69,3.275,0.875,-4.9,1.515,3.312,0.3,0.0,1.5,1.56
1788456347.984,driving,1.785,1.003,0.0,2,32,69,3.275,0.875,-4.9,1.495,3.292,0.3,0.0,1.5,1.56
1788456348.04,driving,1.796,1.003,0.0,2,32,69,3.275,0.875,-4.9,1.485,3.282,0.3,0.0,1.5,1.56
1788456348.094,driving,1.816,1.003,0.0,3,33,69,3.325,0.875,-4.9,1.514,3.261,0.3,0.0,1.5,1.56
1788456348.146,driving,1.827,1.004,0.1,3,33,69,3.325,0.875,-5.1,1.503,3.25,0.3,0.0,1.5,1.56
1788456348.202,driving,1.851,1.006,0.5,4,34,69,3.375,0.875,-5.4,1.53,3.227,0.3,0.0,1.5,1.56
1788456348.26,driving,1.861,1.006,0.5,4,34,69,3.375,0.875,-5.4,1.519,3.216,0.3,0.0,1.5,1.56
1788456348.322,driving,1.882,1.006,0.5,4,34,69,3.375,0.875,-5.4,1.499,3.196,0.3,0.0,1.5,1.56
1788456348.387,driving,1.892,1.007,0.5,4,34,69,3.375,0.875,-5.4,1.489,3.186,0.3,0.0,1.5,1.56
1788456348.444,driving,1.912,1.007,0.5,5,35,69,3.425,0.875,-5.4,1.518,3.165,0.3,0.0,1.5,1.56
1788456348.502,driving,1.923,1.007,0.5,5,35,69,3.425,0.875,-5.4,1.508,3.155,0.3,0.0,1.5,1.56
1788456348.556,driving,1.933,1.007,0.5,5,35,69,3.425,0.875,-5.4,1.498,3.145,0.3,0.0,1.5,1.56
1788456348.615,driving,1.954,1.008,0.5,5,35,69,3.425,0.875,-5.4,1.477,3.124,0.3,0.0,1.5,1.56
1788456348.673,driving,1.965,1.009,0.5,6,36,69,3.475,0.875,-5.4,1.516,3.113,0.3,0.0,1.5,1.56
1788456348.733,driving,1.986,1.009,0.5,0,30,63,3.475,0.875,-5.4,1.495,3.092,0.3,0.0,1.5,1.56
1788456348.791,driving,1.996,1.01,0.5,0,30,63,3.475,0.875,-5.4,1.485,3.082,0.3,0.0,1.5,1.56
1788456348.847,driving,2.017,1.01,0.5,1,31,63,3.525,0.875,-5.4,1.514,3.061,0.3,0.0,1.5,1.56
1788456348.904,driving,2.027,1.01,0.5,1,31,63,3.525,0.875,-5.4,1.504,3.051,0.3,0.0,1.5,1.56
1788456348.963,driving,2.047,1.01,0.5,1,31,63,3.525,0.875,-5.4,1.484,3.031,0.3,0.0,1.5,1.56
1788456349.018,driving,2.057,1.01,0.5,2,32,63,3.575,0.875,-5.4,1.524,3.021,0.3,0.0,1.5,1.56
