t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788450787.607,turning,1.0,1.0,0.0,151,151,152,1.475,2.475,72.1,1.55,1.55,0.0,3.778,1.5,1.56
1788450787.66,turning,1.0,1.0,1.9,0,30,83,2.475,0.875,68.3,1.48,4.077,0.0,3.677,1.5,1.56
1788450787.714,turning,1.0,1.0,4.4,0,30,83,2.475,0.875,64.0,1.48,4.077,0.0,3.55,1.5,1.62
1788450787.766,turning,1.0,1.0,8.9,0,30,83,2.475,0.875,57.7,1.48,4.077,0.0,3.314,1.5,1.62
1788450787.818,turning,1.0,1.0,11.0,0,30,83,2.475,0.875,53.8,1.48,4.077,0.0,3.2,1.5,1.92
1788450787.871,turning,1.0,1.0,14.7,0,30,83,2.475,0.875,48.4,1.48,4.077,0.0,3.005,1.5,1.92
1788450787.925,turning,1.0,1.0,16.5,0,30,83,2.475,0.875,44.9,1.48,4.077,0.0,2.914,1.5,2.31
1788450787.979,turning,1.0,1.0,19.5,0,30,83,2.475,0.875,40.3,1.48,4.077,0.0,2.757,1.5,2.31
1788450788.04,turning,1.0,1.0,20.9,0,30,83,2.475,0.875,37.3,1.48,4.077,0.0,2.682,1.5,2.79
1788450788.096,turning,1.0,1.0,23.3,0,30,83,2.475,0.875,33.3,1.48,4.077,0.0,2.555,1.5,2.79
1788450788.159,turning,1.0,1.0,24.5,0,30,83,2.475,0.875,30.6,1.48,4.077,0.0,2.495,1.5,3.37
1788450788.217,turning,1.0,1.0,25.5,0,30,83,2.475,0.875,28.1,1.48,4.077,0.0,2.442,1.5,3.37
1788450788.275,turning,0.997,1.0,27.5,0,30,83,2.475,0.875,24.7,1.483,4.08,0.0,2.4,1.5,3.38
1788450788.329,turning,0.994,1.0,28.5,0,30,83,2.475,0.875,22.3,1.486,4.083,0.0,2.4,1.5,3.38
1788450788.383,turning,0.992,1.0,30.3,0,30,83,2.475,0.875,19.2,1.489,4.085,0.0,2.4,1.5,3.38
1788450788.439,turning,0.992,1.0,31.1,0,30,83,2.475,0.875,17.0,1.489,4.085,0.0,2.4,1.5,3.38
1788450788.492,turning,0.988,0.999,33.0,0,30,83,2.475,0.875,13.8,1.492,4.089,0.0,2.4,1.5,3.38
1788450788.547,turning,0.985,0.998,34.0,0,30,83,2.475,0.875,11.5,1.495,4.092,0.0,2.4,1.5,3.38
1788450788.601,turning,0.982,0.998,35.8,0,30,83,2.475,0.875,8.4,1.498,4.095,0.0,2.4,1.5,3.39
1788450788.654,turning,0.982,0.998,36.7,0,30,83,2.475,0.875,6.4,1.498,4.095,0.0,2.4,1.5,3.39
1788450788.709,turning,0.983,0.997,38.1,0,30,83,2.475,0.875,3.8,1.497,4.094,0.0,2.4,1.5,3.39
1788450788.761,turning,0.983,0.997,38.7,0,30,83,2.475,0.875,2.0,1.497,4.093,0.0,2.4,1.5,3.39
1788450788.817,turning,0.984,0.997,40.2,0,30,83,2.475,0.875,-0.6,1.496,4.093,0.0,2.4,1.5,3.37
1788450788.879,turning,0.984,0.997,41.1,0,30,83,2.475,0.875,-2.5,1.496,4.093,0.0,2.4,1.5,3.37
1788450788.94,turning,0.984,0.997,42.7,0,30,83,2.475,0.875,-5.2,1.496,4.093,0.0,2.4,1.5,3.35
1788450788.998,turning,0.984,0.997,43.5,0,30,83,2.475,0.875,-7.1,1.496,4.093,0.0,2.4,1.5,3.35
1788450789.053,turning,0.98,0.995,45.2,0,30,83,2.475,0.875,-9.8,1.5,4.097,0.0,2.4,1.5,3.32
1788450789.105,turning,0.977,0.993,46.1,0,30,83,2.475,0.875,-11.7,1.503,4.1,0.0,2.4,1.5,3.32
1788450789.161,turning,0.975,0.993,47.0,0,30,83,2.475,0.875,-13.5,1.504,4.101,0.0,2.4,1.5,3.31
1788450789.211,turning,0.975,0.993,48.6,0,30,83,2.475,0.875,-16.1,1.504,4.101,0.0,2.4,1.5,3.31
1788450789.264,turning,0.975,0.993,49.4,0,30,83,2.475,0.875,-17.8,1.504,4.101,0.0,2.4,1.5,3.3
1788450789.315,turning,0.975,0.993,51.1,0,30,83,2.475,0.875,-20.4,1.504,4.101,0.0,2.4,1.5,3.3
1788450789.371,turning,0.976,0.992,51.9,0,30,83,2.475,0.875,-22.1,1.503,4.1,0.0,2.4,1.5,3.3
1788450789.423,turning,0.98,0.992,53.7,0,30,83,2.475,0.875,-24.7,1.5,4.097,0.0,2.4,1.5,3.3
1788450789.48,turning,0.98,0.992,54.5,0,30,83,2.475,0.875,-26.3,1.499,4.096,0.0,2.4,1.5,3.3
1788450789.535,turning,0.98,0.992,56.1,0,30,83,2.475,0.875,-28.8,1.499,4.096,0.0,2.4,1.5,3.3
1788450789.598,turning,0.98,0.992,57.0,0,30,83,2.475,0.875,-30.4,1.499,4.096,0.0,2.4,1.5,3.3
1788450789.658,turning,0.98,0.992,58.6,0,30,83,2.475,0.875,-32.8,1.499,4.096,0.0,2.4,1.5,3.3
1788450789.718,turning,0.98,0.992,59.4,0,30,83,2.475,0.875,-34.3,1.499,4.096,0.0,2.4,1.5,3.3
