t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788455244.004,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788455244.06,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788455244.116,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.477,4.074,0.3,0.0,1.5,1.56
1788455244.17,driving,1.007,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.523,4.07,0.3,0.0,1.5,1.56
1788455244.223,driving,1.02,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.057,0.3,0.0,1.5,1.56
1788455244.28,driving,1.029,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.501,4.048,0.3,0.0,1.5,1.56
1788455244.335,driving,1.05,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.481,4.027,0.3,0.0,1.5,1.56
1788455244.39,driving,1.06,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.52,4.017,0.3,0.0,1.5,1.56
1788455244.445,driving,1.08,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.5,3.997,0.3,0.0,1.5,1.56
1788455244.5,driving,1.09,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.49,3.987,0.3,0.0,1.5,1.56
1788455244.555,driving,1.101,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.48,3.976,0.3,0.0,1.5,1.56
1788455244.615,driving,1.121,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.509,3.956,0.3,0.0,1.5,1.56
1788455244.677,driving,1.131,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.499,3.946,0.3,0.0,1.5,1.56
1788455244.737,driving,1.152,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.479,3.925,0.3,0.0,1.5,1.56
1788455244.796,driving,1.162,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.518,3.915,0.3,0.0,1.5,1.56
1788455244.855,driving,1.182,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.498,3.895,0.3,0.0,1.5,1.56
1788455244.908,driving,1.192,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.488,3.885,0.3,0.0,1.5,1.56
1788455244.962,driving,1.213,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.517,3.864,0.3,0.0,1.5,1.56
1788455245.017,driving,1.223,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.507,3.854,0.3,0.0,1.5,1.56
1788455245.068,driving,1.244,1.001,0.2,0,30,78,2.725,0.875,-5.0,1.486,3.833,0.3,0.0,1.5,1.56
1788455245.123,driving,1.255,1.001,0.4,0,30,78,2.725,0.875,-5.2,1.476,3.822,0.3,0.0,1.5,1.56
1788455245.176,driving,1.275,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.505,3.802,0.3,0.0,1.5,1.56
1788455245.23,driving,1.286,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.495,3.792,0.3,0.0,1.5,1.56
1788455245.286,driving,1.306,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.474,3.771,0.3,0.0,1.5,1.56
1788455245.34,driving,1.316,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.514,3.761,0.3,0.0,1.5,1.56
