t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788442671.544,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788442671.61,driving,1.001,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.076,0.3,0.0,1.5,1.56
1788442671.678,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.477,4.074,0.3,0.0,1.5,1.56
1788442671.738,driving,1.013,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.517,4.064,0.3,0.0,1.5,1.56
1788442671.797,driving,1.021,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.056,0.3,0.0,1.5,1.56
1788442671.857,driving,1.04,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.49,4.037,0.3,0.0,1.5,1.56
1788442671.911,driving,1.05,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.48,4.027,0.3,0.0,1.5,1.56
1788442671.966,driving,1.071,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.51,4.006,0.3,0.0,1.5,1.56
1788442672.016,driving,1.081,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.499,3.996,0.3,0.0,1.5,1.56
1788442672.072,driving,1.091,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.489,3.986,0.3,0.0,1.5,1.56
1788442672.124,driving,1.111,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.519,3.966,0.3,0.0,1.5,1.56
1788442672.179,driving,1.122,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.509,3.955,0.3,0.0,1.5,1.56
1788442672.233,driving,1.142,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.488,3.935,0.3,0.0,1.5,1.56
1788442672.293,driving,1.152,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.478,3.925,0.3,0.0,1.5,1.56
1788442672.353,driving,1.173,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.508,3.904,0.3,0.0,1.5,1.56
1788442672.418,driving,1.183,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.497,3.894,0.3,0.0,1.5,1.56
1788442672.484,driving,1.203,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.477,3.874,0.3,0.0,1.5,1.56
1788442672.545,driving,1.213,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.517,3.864,0.3,0.0,1.5,1.56
1788442672.601,driving,1.234,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.496,3.843,0.3,0.0,1.5,1.56
1788442672.659,driving,1.244,1.0,0.1,0,30,78,2.725,0.875,-4.9,1.486,3.833,0.3,0.0,1.5,1.56
1788442672.71,driving,1.266,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.514,3.811,0.3,0.0,1.5,1.56
1788442672.765,driving,1.276,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.504,3.801,0.3,0.0,1.5,1.56
1788442672.817,driving,1.296,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.484,3.781,0.3,0.0,1.5,1.56
1788442672.869,driving,1.307,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.474,3.77,0.3,0.0,1.5,1.56
1788442672.919,driving,1.327,1.001,0.3,2,32,78,2.825,0.875,-5.1,1.503,3.75,0.3,0.0,1.5,1.56
1788442672.972,driving,1.337,1.001,0.3,2,32,78,2.825,0.875,-5.1,1.493,3.74,0.3,0.0,1.5,1.56
1788442673.024,driving,1.347,1.001,0.3,2,32,78,2.825,0.875,-5.1,1.483,3.73,0.3,0.0,1.5,1.56
1788442673.083,driving,1.365,1.002,0.5,3,33,78,2.875,0.875,-5.3,1.515,3.712,0.3,0.0,1.5,1.56
1788442673.14,driving,1.372,1.003,0.7,3,33,78,2.875,0.875,-5.6,1.508,3.705,0.3,0.0,1.5,1.56
1788442673.199,driving,1.39,1.005,1.0,3,33,78,2.875,0.875,-5.8,1.491,3.687,0.3,0.0,1.5,1.56
1788442673.255,driving,1.4,1.005,1.0,3,33,78,2.875,0.875,-5.8,1.48,3.677,0.3,0.0,1.5,1.56
1788442673.308,driving,1.421,1.005,1.0,4,34,78,2.925,0.875,-5.8,1.51,3.657,0.3,0.0,1.5,1.56
1788442673.36,driving,1.431,1.005,1.0,4,34,78,2.925,0.875,-5.8,1.5,3.646,0.3,0.0,1.5,1.56
1788442673.414,driving,1.451,1.006,1.0,4,34,78,2.925,0.875,-5.8,1.479,3.626,0.3,0.0,1.5,1.56
1788442673.47,driving,1.461,1.006,1.0,5,35,78,2.975,0.875,-5.8,1.519,3.616,0.3,0.0,1.5,1.56
1788442673.527,driving,1.481,1.006,0.9,5,35,78,2.975,0.875,-5.8,1.5,3.597,0.3,0.0,1.5,1.56
1788442673.584,driving,1.49,1.006,0.9,0,30,73,2.975,0.875,-5.7,1.491,3.588,0.3,0.0,1.5,1.56
1788442673.644,driving,1.509,1.007,0.9,1,31,73,3.025,0.875,-5.7,1.521,3.568,0.3,0.0,1.5,1.56
1788442673.697,driving,1.52,1.007,0.9,1,31,73,3.025,0.875,-5.7,1.511,3.558,0.3,0.0,1.5,1.56
1788442673.756,driving,1.54,1.007,0.9,1,31,73,3.025,0.875,-5.7,1.491,3.538,0.3,0.0,1.5,1.56
1788442673.813,driving,1.55,1.007,0.9,2,32,73,3.075,0.875,-5.7,1.531,3.527,0.3,0.0,1.5,1.56
1788442673.876,driving,1.571,1.008,0.9,2,32,73,3.075,0.875,-5.7,1.51,3.507,0.3,0.0,1.5,1.56
1788442673.94,driving,1.581,1.008,0.9,2,32,73,3.075,0.875,-5.7,1.5,3.497,0.3,0.0,1.5,1.56
1788442673.998,driving,1.591,1.008,0.9,2,32,73,3.075,0.875,-5.7,1.49,3.487,0.3,0.0,1.5,1.56
1788442674.057,driving,1.61,1.009,0.8,3,33,73,3.125,0.875,-5.7,1.521,3.468,0.3,0.0,1.5,1.56
1788442674.115,driving,1.62,1.009,0.8,3,33,73,3.125,0.875,-5.7,1.511,3.458,0.3,0.0,1.5,1.56
1788442674.167,driving,1.64,1.01,0.8,3,33,73,3.125,0.875,-5.7,1.491,3.437,0.3,0.0,1.5,1.56
1788442674.237,driving,1.65,1.01,0.8,3,33,73,3.125,0.875,-5.7,1.481,3.427,0.3,0.0,1.5,1.56
1788442674.319,driving,1.671,1.01,0.8,4,34,73,3.175,0.875,-5.8,1.51,3.407,0.3,0.0,1.5,1.56
1788442674.399,driving,1.681,1.01,0.8,4,34,73,3.175,0.875,-5.8,1.5,3.397,0.3,0.0,1.5,1.56
1788442674.474,driving,1.701,1.01,0.8,4,34,73,3.175,0.875,-5.8,1.48,3.376,0.3,0.0,1.5,1.56
1788442674.533,driving,1.706,1.01,0.7,5,35,73,3.225,0.875,-5.6,1.525,3.372,0.3,0.0,1.5,1.56
1788442674.593,driving,1.711,1.009,0.4,0,30,68,3.225,0.875,-5.3,1.52,3.367,0.3,0.0,1.5,1.56
1788442674.661,driving,1.719,1.008,0.3,0,30,68,3.225,0.875,-5.3,1.512,3.358,0.3,0.0,1.5,1.56
1788442674.73,driving,1.74,1.009,0.3,0,30,68,3.225,0.875,-5.3,1.491,3.338,0.3,0.0,1.5,1.56
