t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788459202.655,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788459202.707,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788459202.761,driving,1.002,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788459202.814,driving,1.012,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.518,4.065,0.3,0.0,1.5,1.56
1788459202.869,driving,1.019,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.511,4.058,0.3,0.0,1.5,1.56
1788459202.923,driving,1.038,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.492,4.039,0.3,0.0,1.5,1.56
1788459202.974,driving,1.048,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.482,4.028,0.3,0.0,1.5,1.56
1788459203.031,driving,1.069,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.511,4.008,0.3,0.0,1.5,1.56
1788459203.088,driving,1.079,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.501,3.998,0.3,0.0,1.5,1.56
1788459203.157,driving,1.099,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.481,3.978,0.3,0.0,1.5,1.56
1788459203.217,driving,1.11,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.52,3.967,0.3,0.0,1.5,1.56
1788459203.277,driving,1.13,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.5,3.947,0.3,0.0,1.5,1.56
1788459203.335,driving,1.14,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.49,3.937,0.3,0.0,1.5,1.56
1788459203.39,driving,1.15,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.48,3.927,0.3,0.0,1.5,1.56
1788459203.443,driving,1.171,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.509,3.906,0.3,0.0,1.5,1.56
1788459203.494,driving,1.181,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.499,3.896,0.3,0.0,1.5,1.56
1788459203.547,driving,1.201,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.479,3.876,0.3,0.0,1.5,1.56
1788459203.6,driving,1.212,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.519,3.865,0.3,0.0,1.5,1.56
1788459203.653,driving,1.233,1.001,0.2,5,35,83,2.725,0.875,-5.0,1.497,3.844,0.3,0.0,1.5,1.56
1788459203.708,driving,1.244,1.001,0.4,0,30,78,2.725,0.875,-5.2,1.486,3.833,0.3,0.0,1.5,1.56
1788459203.762,driving,1.266,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.515,3.812,0.3,0.0,1.5,1.56
1788459203.82,driving,1.276,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.505,3.801,0.3,0.0,1.5,1.56
1788459203.878,driving,1.296,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.484,3.781,0.3,0.0,1.5,1.56
1788459203.941,driving,1.306,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.524,3.771,0.3,0.0,1.5,1.56
1788459204.008,driving,1.327,1.003,0.5,2,32,78,2.825,0.875,-5.3,1.504,3.75,0.3,0.0,1.5,1.56
1788459204.062,driving,1.337,1.003,0.5,2,32,78,2.825,0.875,-5.3,1.494,3.74,0.3,0.0,1.5,1.56
1788459204.119,driving,1.352,1.004,0.8,3,33,78,2.875,0.875,-5.7,1.528,3.725,0.3,0.0,1.5,1.56
1788459204.172,driving,1.358,1.005,1.1,3,33,78,2.875,0.875,-5.9,1.522,3.719,0.3,0.0,1.5,1.56
1788459204.226,driving,1.377,1.006,1.2,3,33,78,2.875,0.875,-6.0,1.504,3.701,0.3,0.0,1.5,1.56
1788459204.28,driving,1.387,1.006,1.2,3,33,78,2.875,0.875,-6.1,1.494,3.691,0.3,0.0,1.5,1.56
1788459204.335,driving,1.397,1.007,1.2,3,33,78,2.875,0.875,-6.1,1.484,3.68,0.3,0.0,1.5,1.56
1788459204.387,driving,1.417,1.007,1.2,4,34,78,2.925,0.875,-6.1,1.513,3.66,0.3,0.0,1.5,1.56
1788459204.44,driving,1.428,1.007,1.2,4,34,78,2.925,0.875,-6.1,1.503,3.65,0.3,0.0,1.5,1.56
1788459204.495,driving,1.448,1.008,1.2,4,34,78,2.925,0.875,-6.1,1.483,3.63,0.3,0.0,1.5,1.56
1788459204.554,driving,1.459,1.007,1.0,5,35,78,2.975,0.875,-5.9,1.522,3.618,0.3,0.0,1.5,1.56
1788459204.611,driving,1.482,1.004,0.4,5,35,78,2.975,0.875,-5.3,1.499,3.595,0.3,0.0,1.5,1.56
1788459204.668,driving,1.493,1.004,0.3,5,35,78,2.975,0.875,-5.2,1.488,3.585,0.3,0.0,1.5,1.56
1788459204.735,driving,1.513,1.004,0.3,0,30,72,3.025,0.875,-5.2,1.517,3.564,0.3,0.0,1.5,1.56
1788459204.796,driving,1.523,1.004,0.3,0,30,72,3.025,0.875,-5.2,1.507,3.554,0.3,0.0,1.5,1.56
1788459204.855,driving,1.544,1.004,0.3,0,30,72,3.025,0.875,-5.2,1.487,3.534,0.3,0.0,1.5,1.56
1788459204.913,driving,1.554,1.004,0.3,1,31,72,3.075,0.875,-5.2,1.527,3.523,0.3,0.0,1.5,1.56
1788459204.967,driving,1.574,1.004,0.3,1,31,72,3.075,0.875,-5.2,1.506,3.503,0.3,0.0,1.5,1.56
1788459205.025,driving,1.582,1.003,0.1,1,31,72,3.075,0.875,-5.0,1.498,3.495,0.3,0.0,1.5,1.56
1788459205.077,driving,1.597,0.999,-0.5,2,32,72,3.125,0.875,-4.4,1.533,3.48,0.3,0.0,1.5,1.56
1788459205.133,driving,1.607,0.999,-0.5,2,32,72,3.125,0.875,-4.3,1.523,3.47,0.3,0.0,1.5,1.56
1788459205.188,driving,1.628,0.999,-0.5,2,32,72,3.125,0.875,-4.3,1.502,3.449,0.3,0.0,1.5,1.56
1788459205.245,driving,1.638,0.999,-0.5,2,32,72,3.125,0.875,-4.3,1.492,3.439,0.3,0.0,1.5,1.56
1788459205.301,driving,1.648,0.999,-0.5,3,33,72,3.175,0.875,-4.3,1.532,3.429,0.3,0.0,1.5,1.56
1788459205.356,driving,1.669,0.999,-0.5,3,33,72,3.175,0.875,-4.3,1.511,3.409,0.3,0.0,1.5,1.56
1788459205.414,driving,1.679,0.999,-0.5,3,33,72,3.175,0.875,-4.3,1.501,3.398,0.3,0.0,1.5,1.56
1788459205.479,driving,1.692,0.998,-0.6,3,33,72,3.175,0.875,-4.3,1.488,3.385,0.3,0.0,1.5,1.56
1788459205.538,driving,1.696,0.997,-0.6,3,33,72,3.175,0.875,-4.2,1.484,3.381,0.3,0.0,1.5,1.56
1788459205.597,driving,1.711,0.996,-0.6,4,34,72,3.225,0.875,-4.2,1.519,3.366,0.3,0.0,1.5,1.56
1788459205.655,driving,1.721,0.996,-0.6,4,34,72,3.225,0.875,-4.2,1.509,3.356,0.3,0.0,1.5,1.56
1788459205.711,driving,1.741,0.996,-0.6,4,34,72,3.225,0.875,-4.2,1.489,3.336,0.3,0.0,1.5,1.56
1788459205.762,driving,1.752,0.996,-0.6,0,30,68,3.225,0.875,-4.2,1.478,3.326,0.3,0.0,1.5,1.56
1788459205.82,driving,1.772,0.996,-0.6,1,31,68,3.275,0.875,-4.2,1.508,3.305,0.3,0.0,1.5,1.56
1788459205.872,driving,1.782,0.996,-0.6,1,31,68,3.275,0.875,-4.2,1.498,3.295,0.3,0.0,1.5,1.56
1788459205.927,driving,1.809,0.995,-0.7,2,32,68,3.325,0.875,-4.1,1.521,3.268,0.3,0.0,1.5,1.56
1788459205.979,driving,1.824,0.995,-0.7,2,32,68,3.325,0.875,-4.1,1.506,3.253,0.3,0.0,1.5,1.56
1788459206.036,driving,1.847,0.995,-0.7,2,32,68,3.325,0.875,-4.1,1.482,3.23,0.3,0.0,1.5,1.56
1788459206.091,driving,1.858,0.995,-0.7,3,33,68,3.375,0.875,-4.1,1.522,3.22,0.3,0.0,1.5,1.56
1788459206.148,driving,1.878,0.995,-0.7,3,33,68,3.375,0.875,-4.1,1.502,3.199,0.3,0.0,1.5,1.56
1788459206.207,driving,1.888,0.995,-0.7,3,33,68,3.375,0.875,-4.1,1.492,3.189,0.3,0.0,1.5,1.56
1788459206.269,driving,1.898,0.995,-0.7,3,33,68,3.375,0.875,-4.1,1.481,3.179,0.3,0.0,1.5,1.56
1788459206.331,driving,1.919,0.994,-0.7,4,34,68,3.425,0.875,-4.1,1.511,3.158,0.3,0.0,1.5,1.56
1788459206.393,driving,1.929,0.996,-0.5,4,34,68,3.425,0.875,-4.3,1.501,3.148,0.3,0.0,1.5,1.56
1788459206.451,driving,1.951,1.003,0.1,4,34,68,3.425,0.875,-4.9,1.48,3.127,0.3,0.0,1.5,1.56
1788459206.506,driving,1.961,1.005,0.3,5,35,68,3.475,0.875,-5.1,1.52,3.117,0.3,0.0,1.5,1.56
1788459206.556,driving,1.981,1.005,0.3,5,35,68,3.475,0.875,-5.1,1.499,3.096,0.3,0.0,1.5,1.56
1788459206.616,driving,1.992,1.005,0.3,5,35,68,3.475,0.875,-5.1,1.489,3.086,0.3,0.0,1.5,1.56
1788459206.667,driving,2.012,1.005,0.3,6,36,68,3.525,0.875,-5.1,1.519,3.066,0.3,0.0,1.5,1.56
1788459206.718,driving,2.022,1.005,0.3,6,36,68,3.525,0.875,-5.1,1.508,3.056,0.3,0.0,1.5,1.56
1788459206.771,driving,2.043,1.005,0.3,0,30,62,3.525,0.725,-5.2,1.509,3.035,0.3,0.0,1.5,1.56
1788459206.826,driving,2.057,1.005,0.2,1,31,62,3.575,0.725,-5.2,1.544,3.021,0.3,0.0,1.5,1.56
1788459206.879,driving,2.089,1.004,-0.2,1,31,62,3.575,0.725,-5.0,1.512,2.989,0.3,0.0,1.5,1.56
1788459206.935,driving,2.1,1.003,-0.2,2,32,62,3.625,0.725,-5.1,1.551,2.978,0.3,0.0,1.5,1.56
1788459206.99,driving,2.12,1.003,-0.2,2,32,62,3.625,0.725,-5.2,1.53,2.958,0.3,0.0,1.5,1.56
1788459207.052,driving,2.13,1.003,-0.2,2,32,62,3.625,0.725,-5.4,1.52,2.948,0.3,0.0,1.5,1.56
1788459207.111,driving,2.151,1.003,-0.2,3,33,62,3.675,0.725,-5.5,1.55,2.927,0.3,0.0,1.5,1.56
1788459207.17,driving,2.161,1.003,-0.2,3,33,62,3.675,0.725,-5.6,1.539,2.917,0.3,0.0,1.5,1.56
1788459207.225,driving,2.171,1.003,-0.2,3,33,62,3.675,0.725,-5.7,1.529,2.907,0.3,0.0,1.5,1.56
1788459207.277,driving,2.193,1.006,0.2,3,33,62,3.675,0.725,-6.3,1.509,2.885,0.3,0.0,1.5,1.56
1788459207.333,driving,2.204,1.01,0.7,4,34,62,3.725,0.725,-6.8,1.548,2.874,0.3,0.0,1.5,1.56
1788459207.389,driving,2.225,1.013,1.1,4,34,62,3.725,0.725,-7.4,1.527,2.853,0.3,0.0,1.5,1.56
1788459207.444,driving,2.235,1.013,1.1,4,34,62,3.725,0.725,-7.5,1.517,2.843,0.3,0.0,1.5,1.56
1788459207.496,driving,2.256,1.014,1.1,5,35,62,3.775,0.725,-7.6,1.546,2.823,0.3,0.0,1.5,1.56
1788459207.552,driving,2.266,1.014,1.1,5,35,62,3.775,0.725,-7.7,1.536,2.812,0.3,0.0,1.5,1.56
1788459207.607,driving,2.286,1.014,1.1,5,35,62,3.775,0.725,-7.8,1.516,2.792,0.3,0.0,1.5,1.56
1788459207.657,driving,2.297,1.014,1.1,5,35,62,3.775,0.725,-7.9,1.506,2.782,0.3,0.0,1.5,1.56
1788459207.71,driving,2.32,1.016,1.5,6,36,62,3.825,0.725,-8.5,1.532,2.758,0.3,0.0,1.5,1.56
1788459207.768,driving,2.333,1.017,1.9,6,36,62,3.825,0.725,-8.9,1.52,2.745,0.3,0.0,1.5,1.56
1788459207.833,driving,2.356,1.019,2.2,1,31,56,3.875,0.725,-9.3,1.547,2.723,0.3,0.0,1.5,1.56
1788459207.897,driving,2.366,1.019,2.2,1,31,56,3.875,0.725,-9.4,1.538,2.713,0.3,0.0,1.5,1.56
1788459207.96,driving,2.386,1.02,2.2,1,31,56,3.875,0.725,-9.5,1.518,2.693,0.3,0.0,1.5,1.56
1788459208.014,driving,2.396,1.02,2.2,1,31,56,3.875,0.725,-9.6,1.508,2.682,0.3,0.0,1.5,1.56
1788459208.069,driving,2.417,1.021,2.2,2,32,56,3.925,0.725,-9.7,1.537,2.662,0.3,0.0,1.5,1.56
1788459208.122,driving,2.427,1.021,2.2,2,32,56,3.925,0.725,-9.8,1.527,2.652,0.3,0.0,1.5,1.56
