t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788457453.037,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788457453.092,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788457453.146,driving,1.002,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788457453.201,driving,1.006,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.524,4.071,0.3,0.0,1.5,1.56
1788457453.255,driving,1.019,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.511,4.058,0.3,0.0,1.5,1.56
1788457453.31,driving,1.028,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.502,4.049,0.3,0.0,1.5,1.56
1788457453.363,driving,1.048,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.482,4.028,0.3,0.0,1.5,1.56
1788457453.421,driving,1.059,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.521,4.018,0.3,0.0,1.5,1.56
1788457453.474,driving,1.079,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.501,3.998,0.3,0.0,1.5,1.56
1788457453.532,driving,1.089,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.491,3.988,0.3,0.0,1.5,1.56
1788457453.59,driving,1.11,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.52,3.967,0.3,0.0,1.5,1.56
1788457453.651,driving,1.12,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.51,3.957,0.3,0.0,1.5,1.56
1788457453.709,driving,1.14,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.49,3.937,0.3,0.0,1.5,1.56
1788457453.764,driving,1.15,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.48,3.927,0.3,0.0,1.5,1.56
1788457453.817,driving,1.161,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.52,3.916,0.3,0.0,1.5,1.56
1788457453.87,driving,1.181,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.499,3.896,0.3,0.0,1.5,1.56
1788457453.923,driving,1.191,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.489,3.886,0.3,0.0,1.5,1.56
1788457453.975,driving,1.212,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.519,3.865,0.3,0.0,1.5,1.56
1788457454.03,driving,1.222,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.508,3.855,0.3,0.0,1.5,1.56
1788457454.095,driving,1.243,1.001,0.2,0,30,78,2.725,0.875,-5.0,1.488,3.834,0.3,0.0,1.5,1.56
1788457454.152,driving,1.253,1.001,0.4,1,31,78,2.775,0.875,-5.2,1.527,3.824,0.3,0.0,1.5,1.56
1788457454.208,driving,1.274,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.506,3.803,0.3,0.0,1.5,1.56
1788457454.26,driving,1.284,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.496,3.793,0.3,0.0,1.5,1.56
1788457454.32,driving,1.305,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.526,3.772,0.3,0.0,1.5,1.56
1788457454.381,driving,1.315,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.515,3.762,0.3,0.0,1.5,1.56
1788457454.446,driving,1.335,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.495,3.742,0.3,0.0,1.5,1.56
1788457454.507,driving,1.346,1.003,0.5,2,32,78,2.825,0.875,-5.3,1.485,3.732,0.3,0.0,1.5,1.56
1788457454.562,driving,1.361,1.004,0.9,3,33,78,2.875,0.875,-5.7,1.52,3.716,0.3,0.0,1.5,1.56
1788457454.615,driving,1.367,1.005,1.1,3,33,78,2.875,0.875,-5.9,1.513,3.71,0.3,0.0,1.5,1.56
1788457454.667,driving,1.386,1.006,1.2,3,33,78,2.875,0.875,-6.1,1.495,3.692,0.3,0.0,1.5,1.56
1788457454.722,driving,1.396,1.006,1.2,3,33,78,2.875,0.875,-6.1,1.485,3.682,0.3,0.0,1.5,1.56
1788457454.774,driving,1.406,1.006,1.2,4,34,78,2.925,0.875,-6.1,1.525,3.671,0.3,0.0,1.5,1.56
1788457454.827,driving,1.426,1.007,1.2,4,34,78,2.925,0.875,-6.1,1.504,3.651,0.3,0.0,1.5,1.56
1788457454.88,driving,1.437,1.007,1.2,4,34,78,2.925,0.875,-6.1,1.494,3.641,0.3,0.0,1.5,1.56
1788457454.934,driving,1.457,1.007,1.2,5,35,78,2.975,0.875,-6.1,1.524,3.62,0.3,0.0,1.5,1.56
1788457454.988,driving,1.467,1.007,1.1,5,35,78,2.975,0.875,-6.0,1.513,3.61,0.3,0.0,1.5,1.56
1788457455.04,driving,1.489,1.005,0.8,5,35,78,2.975,0.875,-5.6,1.492,3.589,0.3,0.0,1.5,1.56
1788457455.095,driving,1.499,1.005,0.7,1,31,73,3.025,0.875,-5.6,1.531,3.578,0.3,0.0,1.5,1.56
