t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788461301.909,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788461301.977,driving,1.001,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.076,0.3,0.0,1.5,1.56
1788461302.045,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.477,4.074,0.3,0.0,1.5,1.56
1788461302.116,driving,1.013,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.517,4.064,0.3,0.0,1.5,1.56
1788461302.179,driving,1.02,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.057,0.3,0.0,1.5,1.56
1788461302.239,driving,1.04,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.491,4.037,0.3,0.0,1.5,1.56
1788461302.299,driving,1.05,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.48,4.027,0.3,0.0,1.5,1.56
1788461302.359,driving,1.07,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.51,4.007,0.3,0.0,1.5,1.56
1788461302.418,driving,1.081,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.5,3.996,0.3,0.0,1.5,1.56
1788461302.475,driving,1.101,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.479,3.976,0.3,0.0,1.5,1.56
1788461302.533,driving,1.111,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.519,3.966,0.3,0.0,1.5,1.56
1788461302.592,driving,1.132,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.499,3.945,0.3,0.0,1.5,1.56
1788461302.648,driving,1.142,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.489,3.935,0.3,0.0,1.5,1.56
1788461302.706,driving,1.152,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.478,3.925,0.3,0.0,1.5,1.56
1788461302.771,driving,1.172,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.508,3.905,0.3,0.0,1.5,1.56
1788461302.835,driving,1.183,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.498,3.894,0.3,0.0,1.5,1.56
1788461302.902,driving,1.203,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.527,3.874,0.3,0.0,1.5,1.56
1788461302.959,driving,1.213,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.517,3.864,0.3,0.0,1.5,1.56
1788461303.015,driving,1.234,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.497,3.843,0.3,0.0,1.5,1.56
1788461303.075,driving,1.244,1.0,0.1,0,30,78,2.725,0.875,-4.9,1.486,3.833,0.3,0.0,1.5,1.56
1788461303.148,driving,1.266,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.515,3.812,0.3,0.0,1.5,1.56
1788461303.232,driving,1.276,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.504,3.801,0.3,0.0,1.5,1.56
1788461303.301,driving,1.296,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.484,3.781,0.3,0.0,1.5,1.56
1788461303.356,driving,1.306,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.474,3.771,0.3,0.0,1.5,1.56
1788461303.411,driving,1.327,1.001,0.3,2,32,78,2.825,0.875,-5.1,1.503,3.75,0.3,0.0,1.5,1.56
1788461303.465,driving,1.337,1.001,0.3,2,32,78,2.825,0.875,-5.1,1.493,3.74,0.3,0.0,1.5,1.56
1788461303.523,driving,1.357,1.002,0.3,2,32,78,2.825,0.875,-5.1,1.473,3.72,0.3,0.0,1.5,1.56
1788461303.584,driving,1.365,1.002,0.5,3,33,78,2.875,0.875,-5.3,1.515,3.712,0.3,0.0,1.5,1.56
1788461303.649,driving,1.38,1.005,1.0,3,33,78,2.875,0.875,-5.8,1.5,3.697,0.3,0.0,1.5,1.56
1788461303.713,driving,1.39,1.005,1.0,3,33,78,2.875,0.875,-5.8,1.491,3.687,0.3,0.0,1.5,1.56
1788461303.768,driving,1.4,1.005,1.0,3,33,78,2.875,0.875,-5.8,1.48,3.677,0.3,0.0,1.5,1.56
1788461303.823,driving,1.421,1.005,1.0,4,34,78,2.925,0.875,-5.8,1.51,3.657,0.3,0.0,1.5,1.56
1788461303.878,driving,1.431,1.005,1.0,4,34,78,2.925,0.875,-5.9,1.5,3.646,0.3,0.0,1.5,1.56
1788461303.933,driving,1.451,1.006,1.0,0,30,73,2.975,0.875,-5.9,1.529,3.626,0.3,0.0,1.5,1.56
1788461303.986,driving,1.462,1.006,1.0,0,30,73,2.975,0.875,-5.9,1.519,3.616,0.3,0.0,1.5,1.56
1788461304.04,driving,1.483,1.005,0.8,0,30,73,2.975,0.875,-5.7,1.498,3.594,0.3,0.0,1.5,1.56
1788461304.094,driving,1.494,1.005,0.7,0,30,73,2.975,0.875,-5.5,1.486,3.583,0.3,0.0,1.5,1.56
1788461304.145,driving,1.516,1.004,0.6,1,31,73,3.025,0.875,-5.4,1.515,3.562,0.3,0.0,1.5,1.56
1788461304.196,driving,1.526,1.004,0.6,1,31,73,3.025,0.875,-5.4,1.505,3.551,0.3,0.0,1.5,1.56
1788461304.251,driving,1.546,1.004,0.6,1,31,73,3.025,0.875,-5.4,1.484,3.531,0.3,0.0,1.5,1.56
1788461304.329,driving,1.557,1.004,0.6,2,32,73,3.075,0.875,-5.4,1.524,3.521,0.3,0.0,1.5,1.56
1788461304.409,driving,1.577,1.005,0.6,2,32,73,3.075,0.875,-5.4,1.504,3.5,0.3,0.0,1.5,1.56
1788461304.474,driving,1.587,1.005,0.6,2,32,73,3.075,0.875,-5.4,1.493,3.49,0.3,0.0,1.5,1.56
1788461304.535,driving,1.608,1.005,0.5,3,33,73,3.125,0.875,-5.3,1.523,3.47,0.3,0.0,1.5,1.56
1788461304.593,driving,1.618,1.006,0.4,3,33,73,3.125,0.875,-5.3,1.513,3.46,0.3,0.0,1.5,1.56
1788461304.646,driving,1.638,1.006,0.4,3,33,73,3.125,0.875,-5.2,1.493,3.439,0.3,0.0,1.5,1.56
1788461304.705,driving,1.648,1.006,0.4,3,33,73,3.125,0.875,-5.3,1.482,3.429,0.3,0.0,1.5,1.56
1788461304.759,driving,1.659,1.006,0.4,4,34,73,3.175,0.875,-5.3,1.522,3.419,0.3,0.0,1.5,1.56
1788461304.816,driving,1.679,1.006,0.4,4,34,73,3.175,0.875,-5.3,1.502,3.399,0.3,0.0,1.5,1.56
1788461304.876,driving,1.689,1.006,0.4,4,34,73,3.175,0.875,-5.3,1.492,3.388,0.3,0.0,1.5,1.56
1788461304.936,driving,1.71,1.006,0.4,5,35,73,3.225,0.875,-5.3,1.521,3.368,0.3,0.0,1.5,1.56
1788461304.996,driving,1.717,1.007,0.6,0,30,68,3.225,0.875,-5.4,1.513,3.36,0.3,0.0,1.5,1.56
1788461305.061,driving,1.729,1.01,1.2,0,30,68,3.225,0.875,-6.1,1.502,3.349,0.3,0.0,1.5,1.56
1788461305.132,driving,1.738,1.011,1.3,0,30,68,3.225,0.875,-6.2,1.493,3.34,0.3,0.0,1.5,1.56
1788461305.201,driving,1.758,1.011,1.3,1,31,68,3.275,0.875,-6.2,1.523,3.32,0.3,0.0,1.5,1.56
1788461305.267,driving,1.768,1.011,1.3,1,31,68,3.275,0.875,-6.2,1.513,3.309,0.3,0.0,1.5,1.56
1788461305.329,driving,1.789,1.012,1.3,1,31,68,3.275,0.875,-6.2,1.493,3.289,0.3,0.0,1.5,1.56
1788461305.387,driving,1.799,1.012,1.3,1,31,68,3.275,0.875,-6.2,1.482,3.279,0.3,0.0,1.5,1.56
1788461305.444,driving,1.819,1.012,1.3,2,32,68,3.325,0.875,-6.2,1.512,3.259,0.3,0.0,1.5,1.56
1788461305.505,driving,1.83,1.013,1.3,2,32,68,3.325,0.875,-6.2,1.502,3.248,0.3,0.0,1.5,1.56
1788461305.572,driving,1.851,1.014,1.3,2,32,68,3.325,0.875,-6.3,1.481,3.227,0.3,0.0,1.5,1.56
1788461305.625,driving,1.861,1.014,1.3,3,33,68,3.375,0.875,-6.3,1.52,3.217,0.3,0.0,1.5,1.56
1788461305.677,driving,1.881,1.014,1.3,3,33,68,3.375,0.875,-6.3,1.5,3.197,0.3,0.0,1.5,1.56
1788461305.729,driving,1.892,1.015,1.3,3,33,68,3.375,0.875,-6.3,1.49,3.186,0.3,0.0,1.5,1.56
1788461305.785,driving,1.902,1.015,1.3,3,33,68,3.375,0.875,-6.3,1.48,3.176,0.3,0.0,1.5,1.56
1788461305.847,driving,1.922,1.015,1.3,4,34,68,3.425,0.875,-6.3,1.509,3.156,0.3,0.0,1.5,1.56
1788461305.919,driving,1.932,1.016,1.3,4,34,68,3.425,0.875,-6.3,1.499,3.146,0.3,0.0,1.5,1.56
1788461305.985,driving,1.952,1.017,1.6,4,34,68,3.425,0.875,-6.6,1.48,3.126,0.3,0.0,1.5,1.56
1788461306.049,driving,1.961,1.018,1.8,0,30,63,3.475,0.875,-6.8,1.521,3.117,0.3,0.0,1.5,1.56
1788461306.108,driving,1.981,1.019,2.0,0,30,63,3.475,0.875,-7.1,1.501,3.098,0.3,0.0,1.5,1.56
1788461306.158,driving,1.991,1.02,2.0,0,30,63,3.475,0.875,-7.1,1.491,3.087,0.3,0.0,1.5,1.56
1788461306.21,driving,2.011,1.02,2.0,1,31,63,3.525,0.875,-7.1,1.521,3.067,0.3,0.0,1.5,1.56
1788461306.264,driving,2.022,1.021,2.0,1,31,63,3.525,0.875,-7.1,1.51,3.057,0.3,0.0,1.5,1.56
1788461306.32,driving,2.042,1.021,2.0,1,31,63,3.525,0.875,-7.1,1.49,3.037,0.3,0.0,1.5,1.56
1788461306.373,driving,2.052,1.022,2.0,2,32,63,3.575,0.875,-7.1,1.53,3.026,0.3,0.0,1.5,1.56
1788461306.428,driving,2.078,1.023,2.0,2,32,63,3.575,0.875,-7.2,1.504,3.001,0.3,0.0,1.5,1.56
1788461306.483,driving,2.092,1.023,2.0,2,32,63,3.575,0.875,-7.2,1.49,2.986,0.3,0.0,1.5,1.56
1788461306.539,driving,2.115,1.024,2.0,3,33,63,3.625,0.875,-7.2,1.517,2.963,0.3,0.0,1.5,1.56
1788461306.593,driving,2.126,1.024,2.0,3,33,63,3.625,0.875,-7.2,1.507,2.953,0.3,0.0,1.5,1.56
1788461306.669,driving,2.146,1.025,2.0,3,33,63,3.625,0.875,-7.2,1.487,2.933,0.3,0.0,1.5,1.56
1788461306.746,driving,2.156,1.025,2.0,4,34,63,3.675,0.875,-7.2,1.526,2.923,0.3,0.0,1.5,1.56
1788461306.816,driving,2.166,1.026,2.0,4,34,63,3.675,0.875,-7.2,1.516,2.912,0.3,0.0,1.5,1.56
1788461306.88,driving,2.187,1.026,2.0,4,34,63,3.675,0.875,-7.3,1.496,2.892,0.3,0.0,1.5,1.56
1788461306.938,driving,2.196,1.026,2.0,4,34,63,3.675,0.875,-7.3,1.487,2.883,0.3,0.0,1.5,1.56
1788461306.993,driving,2.211,1.025,2.0,5,35,63,3.725,0.875,-7.3,1.521,2.868,0.3,0.0,1.5,1.56
1788461307.051,driving,2.221,1.025,2.0,0,30,58,3.725,0.825,-7.3,1.518,2.858,0.3,0.0,1.5,1.56
1788461307.111,driving,2.241,1.026,2.0,0,30,58,3.725,0.825,-7.4,1.498,2.838,0.3,0.0,1.5,1.56
1788461307.168,driving,2.251,1.026,2.0,1,31,58,3.775,0.825,-7.4,1.537,2.828,0.3,0.0,1.5,1.56
