t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788458002.274,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788458002.329,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788458002.382,driving,1.002,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788458002.435,driving,1.012,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.518,4.065,0.3,0.0,1.5,1.56
1788458002.487,driving,1.019,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.511,4.058,0.3,0.0,1.5,1.56
1788458002.541,driving,1.038,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.492,4.039,0.3,0.0,1.5,1.56
1788458002.591,driving,1.048,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.482,4.028,0.3,0.0,1.5,1.56
1788458002.646,driving,1.059,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.521,4.018,0.3,0.0,1.5,1.56
1788458002.705,driving,1.079,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.501,3.998,0.3,0.0,1.5,1.56
1788458002.766,driving,1.089,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.491,3.988,0.3,0.0,1.5,1.56
1788458002.828,driving,1.11,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.52,3.967,0.3,0.0,1.5,1.56
1788458002.883,driving,1.12,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.51,3.957,0.3,0.0,1.5,1.56
1788458002.939,driving,1.14,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.49,3.937,0.3,0.0,1.5,1.56
1788458002.992,driving,1.15,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.48,3.927,0.3,0.0,1.5,1.56
1788458003.046,driving,1.171,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.509,3.906,0.3,0.0,1.5,1.56
1788458003.097,driving,1.181,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.499,3.896,0.3,0.0,1.5,1.56
1788458003.15,driving,1.201,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.479,3.876,0.3,0.0,1.5,1.56
1788458003.202,driving,1.212,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.519,3.865,0.3,0.0,1.5,1.56
1788458003.255,driving,1.232,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.498,3.845,0.3,0.0,1.5,1.56
1788458003.309,driving,1.242,1.0,0.1,0,30,78,2.725,0.875,-5.0,1.488,3.835,0.3,0.0,1.5,1.56
1788458003.363,driving,1.263,1.002,0.4,1,31,78,2.775,0.875,-5.3,1.517,3.814,0.3,0.0,1.5,1.56
1788458003.416,driving,1.274,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.507,3.803,0.3,0.0,1.5,1.56
1788458003.474,driving,1.294,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.486,3.783,0.3,0.0,1.5,1.56
1788458003.537,driving,1.304,1.002,0.5,1,31,78,2.775,0.875,-5.3,1.476,3.773,0.3,0.0,1.5,1.56
1788458003.591,driving,1.315,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.516,3.763,0.3,0.0,1.5,1.56
1788458003.653,driving,1.335,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.496,3.742,0.3,0.0,1.5,1.56
1788458003.707,driving,1.345,1.002,0.5,2,32,78,2.825,0.875,-5.3,1.485,3.732,0.3,0.0,1.5,1.56
1788458003.76,driving,1.361,1.004,0.8,3,33,78,2.875,0.875,-5.6,1.519,3.716,0.3,0.0,1.5,1.56
1788458003.811,driving,1.367,1.005,1.0,3,33,78,2.875,0.875,-5.9,1.513,3.71,0.3,0.0,1.5,1.56
1788458003.866,driving,1.384,1.006,1.3,3,33,78,2.875,0.875,-6.1,1.497,3.693,0.3,0.0,1.5,1.56
1788458003.921,driving,1.394,1.007,1.3,3,33,78,2.875,0.875,-6.1,1.486,3.683,0.3,0.0,1.5,1.56
1788458003.975,driving,1.415,1.007,1.3,4,34,78,2.925,0.875,-6.1,1.516,3.663,0.3,0.0,1.5,1.56
1788458004.029,driving,1.425,1.007,1.3,4,34,78,2.925,0.875,-6.1,1.506,3.652,0.3,0.0,1.5,1.56
1788458004.086,driving,1.445,1.008,1.3,4,34,78,2.925,0.875,-6.2,1.486,3.632,0.3,0.0,1.5,1.56
1788458004.141,driving,1.456,1.008,1.3,4,34,78,2.925,0.875,-6.2,1.475,3.622,0.3,0.0,1.5,1.56
1788458004.195,driving,1.476,1.006,0.8,5,35,78,2.975,0.875,-5.6,1.505,3.602,0.3,0.0,1.5,1.56
1788458004.255,driving,1.485,1.004,0.4,5,35,78,2.975,0.875,-5.3,1.495,3.592,0.3,0.0,1.5,1.56
1788458004.313,driving,1.506,1.003,0.1,1,31,73,3.025,0.875,-5.0,1.525,3.572,0.3,0.0,1.5,1.56
1788458004.371,driving,1.516,1.003,0.1,1,31,73,3.025,0.875,-5.0,1.515,3.562,0.3,0.0,1.5,1.56
1788458004.442,driving,1.536,1.003,0.1,1,31,73,3.025,0.875,-5.0,1.494,3.541,0.3,0.0,1.5,1.56
1788458004.497,driving,1.546,1.003,0.1,1,31,73,3.025,0.875,-5.0,1.484,3.531,0.3,0.0,1.5,1.56
1788458004.554,driving,1.557,1.003,0.1,2,32,73,3.075,0.875,-5.0,1.524,3.521,0.3,0.0,1.5,1.56
1788458004.606,driving,1.577,1.003,0.1,2,32,73,3.075,0.875,-5.0,1.504,3.5,0.3,0.0,1.5,1.56
1788458004.667,driving,1.586,1.003,0.0,2,32,73,3.075,0.875,-4.9,1.495,3.492,0.3,0.0,1.5,1.56
1788458004.719,driving,1.601,1.002,-0.2,3,33,73,3.125,0.875,-4.6,1.529,3.476,0.3,0.0,1.5,1.56
1788458004.774,driving,1.61,1.002,-0.3,3,33,73,3.125,0.875,-4.6,1.52,3.467,0.3,0.0,1.5,1.56
1788458004.827,driving,1.631,1.001,-0.3,3,33,73,3.125,0.875,-4.6,1.5,3.447,0.3,0.0,1.5,1.56
1788458004.88,driving,1.641,1.001,-0.3,3,33,73,3.125,0.875,-4.6,1.489,3.436,0.3,0.0,1.5,1.56
1788458004.931,driving,1.661,1.001,-0.3,4,34,73,3.175,0.875,-4.6,1.519,3.416,0.3,0.0,1.5,1.56
1788458004.987,driving,1.672,1.001,-0.3,4,34,73,3.175,0.875,-4.6,1.509,3.406,0.3,0.0,1.5,1.56
1788458005.045,driving,1.692,1.001,-0.3,4,34,73,3.175,0.875,-4.6,1.488,3.385,0.3,0.0,1.5,1.56
1788458005.107,driving,1.695,1.0,-0.4,4,34,73,3.175,0.875,-4.5,1.486,3.383,0.3,0.0,1.5,1.56
1788458005.167,driving,1.695,0.997,-0.7,4,34,73,3.175,0.875,-4.2,1.485,3.382,0.3,0.0,1.5,1.56
1788458005.224,driving,1.704,0.996,-0.7,5,35,73,3.225,0.875,-4.2,1.526,3.374,0.3,0.0,1.5,1.56
1788458005.279,driving,1.724,0.996,-0.7,5,35,73,3.225,0.875,-4.2,1.506,3.353,0.3,0.0,1.5,1.56
1788458005.335,driving,1.734,0.996,-0.7,0,30,68,3.225,0.875,-4.2,1.496,3.343,0.3,0.0,1.5,1.56
1788458005.335,driving,1.734,0.996,-0.7,0,30,68,3.225,0.875,-4.1,1.496,3.343,0.3,0.0,1.5,1.56
1788458005.441,driving,1.765,0.995,-0.7,1,31,68,3.275,0.875,-4.1,1.515,3.312,0.3,0.0,1.5,1.56
1788458005.491,driving,1.775,0.995,-0.7,1,31,68,3.275,0.875,-4.1,1.505,3.302,0.3,0.0,1.5,1.56
1788458005.546,driving,1.795,0.995,-0.7,1,31,68,3.275,0.875,-4.1,1.485,3.283,0.3,0.0,1.5,1.56
1788458005.597,driving,1.804,0.995,-0.8,1,31,68,3.275,0.875,-4.0,1.476,3.273,0.3,0.0,1.5,1.56
1788458005.65,driving,1.823,0.994,-0.8,2,32,68,3.325,0.875,-4.0,1.506,3.254,0.3,0.0,1.5,1.56
1788458005.702,driving,1.834,0.994,-0.8,2,32,68,3.325,0.875,-4.0,1.496,3.244,0.3,0.0,1.5,1.56
1788458005.757,driving,1.854,0.994,-0.8,2,32,68,3.325,0.875,-4.0,1.476,3.223,0.3,0.0,1.5,1.56
1788458005.813,driving,1.864,0.994,-0.8,3,33,68,3.375,0.875,-4.0,1.516,3.213,0.3,0.0,1.5,1.56
1788458005.871,driving,1.885,0.994,-0.8,3,33,68,3.375,0.875,-4.0,1.495,3.193,0.3,0.0,1.5,1.56
1788458005.931,driving,1.895,0.993,-0.8,3,33,68,3.375,0.875,-4.0,1.485,3.183,0.3,0.0,1.5,1.56
1788458005.989,driving,1.92,0.99,-1.0,4,34,68,3.425,0.875,-3.8,1.51,3.157,0.3,0.0,1.5,1.56
1788458006.043,driving,1.934,0.987,-1.1,4,34,68,3.425,0.875,-3.7,1.495,3.143,0.3,0.0,1.5,1.56
1788458006.098,driving,1.957,0.984,-1.2,5,35,68,3.475,0.875,-3.6,1.522,3.12,0.3,0.0,1.5,1.56
1788458006.153,driving,1.967,0.984,-1.2,5,35,68,3.475,0.875,-3.6,1.512,3.11,0.3,0.0,1.5,1.56
1788458006.205,driving,1.987,0.984,-1.2,5,35,68,3.475,0.875,-3.5,1.492,3.089,0.3,0.0,1.5,1.56
1788458006.257,driving,1.998,0.983,-1.2,5,35,68,3.475,0.875,-3.5,1.481,3.079,0.3,0.0,1.5,1.56
1788458006.31,driving,2.018,0.983,-1.2,6,36,68,3.525,0.875,-3.5,1.511,3.059,0.3,0.0,1.5,1.56
1788458006.363,driving,2.028,0.983,-1.2,0,30,62,3.525,0.875,-3.5,1.501,3.049,0.3,0.0,1.5,1.56
1788458006.416,driving,2.04,0.982,-1.1,0,30,62,3.525,0.875,-3.5,1.489,3.037,0.3,0.0,1.5,1.56
1788458006.469,driving,2.067,0.98,-1.0,1,31,62,3.575,0.875,-3.7,1.512,3.01,0.3,0.0,1.5,1.56
1788458006.523,driving,2.079,0.979,-0.9,1,31,62,3.575,0.875,-3.7,1.5,2.998,0.3,0.0,1.5,1.56
1788458006.581,driving,2.099,0.979,-0.9,1,31,62,3.575,0.875,-3.7,1.479,2.978,0.3,0.0,1.5,1.56
1788458006.641,driving,2.109,0.979,-0.9,2,32,62,3.625,0.875,-3.7,1.519,2.967,0.3,0.0,1.5,1.56
1788458006.7,driving,2.13,0.978,-0.9,2,32,62,3.625,0.875,-3.6,1.499,2.947,0.3,0.0,1.5,1.56
1788458006.761,driving,2.14,0.978,-0.9,2,32,62,3.625,0.875,-3.6,1.489,2.937,0.3,0.0,1.5,1.56
1788458006.814,driving,2.16,0.978,-0.9,3,33,62,3.675,0.875,-3.6,1.518,2.916,0.3,0.0,1.5,1.56
1788458006.868,driving,2.171,0.977,-1.0,3,33,62,3.675,0.875,-3.6,1.508,2.906,0.3,0.0,1.5,1.56
1788458006.92,driving,2.192,0.975,-1.1,3,33,62,3.675,0.875,-3.4,1.486,2.885,0.3,0.0,1.5,1.56
1788458006.975,driving,2.202,0.975,-1.1,3,33,62,3.675,0.875,-3.4,1.476,2.874,0.3,0.0,1.5,1.56
1788458007.03,driving,2.223,0.974,-1.1,4,34,62,3.725,0.875,-3.4,1.506,2.854,0.3,0.0,1.5,1.56
1788458007.086,driving,2.233,0.974,-1.1,4,34,62,3.725,0.875,-3.4,1.495,2.844,0.3,0.0,1.5,1.56
1788458007.138,driving,2.253,0.974,-1.1,4,34,62,3.725,0.875,-3.3,1.475,2.823,0.3,0.0,1.5,1.56
1788458007.191,driving,2.263,0.974,-1.1,5,35,62,3.775,0.875,-3.3,1.515,2.813,0.3,0.0,1.5,1.56
1788458007.242,driving,2.284,0.973,-1.1,5,35,62,3.775,0.875,-3.3,1.494,2.793,0.3,0.0,1.5,1.56
1788458007.296,driving,2.296,0.974,-0.9,5,35,62,3.775,0.875,-3.5,1.483,2.781,0.3,0.0,1.5,1.56
1788458007.352,driving,2.308,0.974,-0.7,6,36,62,3.825,0.875,-3.7,1.521,2.769,0.3,0.0,1.5,1.56
1788458007.415,driving,2.33,0.975,-0.5,0,30,56,3.825,0.675,-4.0,1.525,2.747,0.3,0.0,1.5,1.56
1788458007.476,driving,2.34,0.975,-0.5,0,30,56,3.825,0.675,-4.2,1.515,2.737,0.3,0.0,1.5,1.56
1788458007.536,driving,2.36,0.974,-0.5,1,31,56,3.875,0.675,-4.4,1.544,2.716,0.3,0.0,1.5,1.56
1788458007.587,driving,2.371,0.974,-0.5,1,31,56,3.875,0.675,-4.5,1.534,2.706,0.3,0.0,1.5,1.56
1788458007.641,driving,2.391,0.974,-0.5,1,31,56,3.875,0.675,-4.7,1.514,2.686,0.3,0.0,1.5,1.56
1788458007.693,driving,2.401,0.974,-0.5,1,31,56,3.875,0.675,-4.8,1.504,2.676,0.3,0.0,1.5,1.56
