t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788458690.238,driving,1.0,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.077,0.3,0.0,1.5,1.56
1788458690.293,driving,1.001,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.48,4.076,0.3,0.0,1.5,1.56
1788458690.353,driving,1.003,1.0,0.0,0,30,83,2.475,0.875,-4.8,1.478,4.074,0.3,0.0,1.5,1.56
1788458690.413,driving,1.012,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.518,4.065,0.3,0.0,1.5,1.56
1788458690.472,driving,1.02,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.51,4.057,0.3,0.0,1.5,1.56
1788458690.536,driving,1.039,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.491,4.038,0.3,0.0,1.5,1.56
1788458690.594,driving,1.049,1.0,0.0,1,31,83,2.525,0.875,-4.8,1.481,4.028,0.3,0.0,1.5,1.56
1788458690.649,driving,1.07,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.51,4.007,0.3,0.0,1.5,1.56
1788458690.704,driving,1.08,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.5,3.997,0.3,0.0,1.5,1.56
1788458690.76,driving,1.1,1.0,0.0,2,32,83,2.575,0.875,-4.8,1.48,3.977,0.3,0.0,1.5,1.56
1788458690.809,driving,1.111,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.52,3.966,0.3,0.0,1.5,1.56
1788458690.866,driving,1.131,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.499,3.946,0.3,0.0,1.5,1.56
1788458690.921,driving,1.141,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.489,3.936,0.3,0.0,1.5,1.56
1788458690.973,driving,1.151,1.0,0.0,3,33,83,2.625,0.875,-4.8,1.479,3.926,0.3,0.0,1.5,1.56
1788458691.031,driving,1.172,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.508,3.905,0.3,0.0,1.5,1.56
1788458691.09,driving,1.182,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.498,3.895,0.3,0.0,1.5,1.56
1788458691.147,driving,1.202,1.0,0.0,4,34,83,2.675,0.875,-4.8,1.478,3.875,0.3,0.0,1.5,1.56
1788458691.208,driving,1.213,1.0,0.0,5,35,83,2.725,0.875,-4.8,1.518,3.864,0.3,0.0,1.5,1.56
1788458691.269,driving,1.233,1.0,0.0,0,30,78,2.725,0.875,-4.8,1.497,3.844,0.3,0.0,1.5,1.56
1788458691.331,driving,1.243,1.0,0.1,0,30,78,2.725,0.875,-4.9,1.487,3.834,0.3,0.0,1.5,1.56
1788458691.387,driving,1.265,1.001,0.3,1,31,78,2.775,0.875,-5.1,1.516,3.812,0.3,0.0,1.5,1.56
1788458691.441,driving,1.275,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.505,3.802,0.3,0.0,1.5,1.56
1788458691.494,driving,1.295,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.485,3.782,0.3,0.0,1.5,1.56
1788458691.547,driving,1.306,1.001,0.3,1,31,78,2.775,0.875,-5.2,1.475,3.772,0.3,0.0,1.5,1.56
1788458691.599,driving,1.326,1.002,0.3,2,32,78,2.825,0.875,-5.2,1.504,3.751,0.3,0.0,1.5,1.56
