t,state,x,y,yaw_deg,i0,ci,n,aim_x,aim_y,herr_deg,dist_aim,dist_goal,vx,wz,la,clear
1788647884.923,driving,-0.014,0.001,-11.0,150,173,355,2.218,0.058,12.4,2.233,9.343,0.35,0.0,1.5,10.17
1788647884.982,driving,-0.014,0.001,-11.0,0,30,145,0.648,1.368,14.0,1.519,7.921,0.35,0.0,1.5,10.17
1788647885.031,driving,-0.014,0.001,-11.0,0,30,145,0.648,1.368,15.5,1.519,7.921,0.35,0.0,1.5,11.29
1788647885.079,turning,-0.014,0.001,-11.0,0,30,145,0.648,1.368,17.0,1.519,7.921,0.0,3.6,1.5,11.29
1788647885.13,turning,-0.014,0.001,-11.0,0,30,145,0.648,1.368,18.4,1.519,7.921,0.0,3.6,1.5,11.84
1788647885.179,turning,-0.014,0.001,-11.0,0,30,145,0.648,1.368,19.8,1.519,7.921,0.0,3.6,1.5,11.84
1788647885.233,turning,-0.014,0.001,-11.0,0,30,145,0.648,1.368,21.2,1.519,7.92,0.0,3.6,1.5,11.85
1788647885.279,turning,-0.013,0.0,-11.0,0,30,145,0.648,1.368,22.5,1.519,7.92,0.0,3.6,1.5,11.85
1788647885.326,turning,-0.004,-0.001,-10.8,0,30,145,0.648,1.368,23.6,1.517,7.917,0.0,3.6,1.5,11.31
1788647885.373,turning,0.001,-0.002,-10.0,0,30,145,0.648,1.368,24.1,1.516,7.915,0.0,3.6,1.5,11.31
1788647885.43,turning,0.004,-0.003,-7.3,0,30,145,0.648,1.368,22.7,1.514,7.914,0.0,3.6,1.5,10.38
1788647885.481,turning,0.006,-0.003,-4.1,0,30,145,0.648,1.368,20.7,1.514,7.913,0.0,3.6,1.5,10.38
1788647885.526,turning,0.007,-0.003,-1.4,0,30,145,0.648,1.368,19.2,1.514,7.913,0.0,3.6,1.5,11.82
1788647885.574,driving,0.006,-0.003,1.4,0,30,145,0.648,1.368,17.6,1.514,7.913,0.35,0.0,1.5,11.82
1788647885.632,driving,0.007,-0.003,4.2,0,30,145,0.648,1.368,15.9,1.513,7.912,0.35,0.0,1.5,11.73
1788647885.679,driving,0.008,-0.003,8.6,0,30,145,0.648,1.368,12.6,1.513,7.912,0.35,0.0,1.5,11.73
1788647885.734,driving,0.015,-0.001,12.6,0,30,145,0.648,1.368,9.7,1.509,7.907,0.35,0.0,1.5,10.27
1788647885.78,driving,0.02,-0.0,15.8,0,30,145,0.648,1.368,7.5,1.506,7.904,0.35,0.0,1.5,10.27
1788647885.83,driving,0.032,0.003,17.0,0,30,145,0.648,1.368,7.4,1.497,7.894,0.35,0.0,1.5,8.82
1788647885.874,driving,0.044,0.007,17.4,1,31,145,0.67,1.413,8.1,1.539,7.885,0.35,0.0,1.5,8.82
1788647885.928,driving,0.064,0.014,17.5,1,31,145,0.67,1.413,8.9,1.525,7.869,0.35,0.0,1.5,8.77
1788647885.975,driving,0.071,0.016,17.6,1,31,145,0.67,1.413,9.9,1.52,7.863,0.35,0.0,1.5,8.77
1788647886.142,driving,0.128,0.041,19.7,1,29,141,0.768,1.408,8.7,1.509,7.812,0.35,0.0,1.5,8.71
1788647886.195,driving,0.163,0.054,20.2,2,30,141,0.79,1.453,9.0,1.533,7.784,0.35,0.0,1.5,8.71
1788647886.226,driving,0.18,0.06,20.4,2,30,141,0.79,1.453,9.8,1.521,7.77,0.35,0.0,1.5,8.73
1788647886.273,driving,0.198,0.067,20.4,2,30,141,0.79,1.453,10.7,1.507,7.755,0.35,0.0,1.5,8.73
1788647886.332,driving,0.214,0.072,20.5,2,30,141,0.79,1.453,11.5,1.496,7.742,0.35,0.0,1.5,8.64
1788647886.375,driving,0.242,0.083,20.6,3,31,141,0.813,1.497,12.3,1.526,7.719,0.35,0.0,1.5,8.64
1788647886.43,driving,0.261,0.089,20.6,3,31,141,0.813,1.497,13.1,1.512,7.704,0.35,0.0,1.5,8.6
1788647886.483,driving,0.285,0.099,20.7,4,32,141,0.835,1.542,13.9,1.545,7.684,0.35,0.0,1.5,8.6
1788647886.531,driving,0.31,0.108,20.8,4,32,141,0.835,1.542,14.7,1.527,7.663,0.35,0.0,1.5,8.6
1788647886.578,driving,0.33,0.116,20.9,4,32,141,0.835,1.542,15.5,1.513,7.647,0.35,0.0,1.5,8.6
1788647886.629,turning,0.358,0.127,21.1,5,33,141,0.857,1.587,16.1,1.543,7.623,0.0,3.6,1.5,9.3
1788647886.679,turning,0.377,0.134,21.4,5,33,141,0.857,1.587,16.7,1.53,7.607,0.0,3.6,1.5,9.49
1788647886.729,turning,0.405,0.146,21.7,5,33,141,0.857,1.587,17.3,1.51,7.583,0.0,3.6,1.5,9.49
1788647886.774,turning,0.422,0.153,21.7,6,34,141,0.88,1.632,18.1,1.548,7.569,0.0,3.6,1.5,9.49
1788647886.827,turning,0.44,0.16,21.7,6,34,141,0.88,1.632,18.9,1.536,7.554,0.0,3.6,1.5,9.88
1788647886.884,turning,0.461,0.169,22.2,6,34,141,0.88,1.632,19.2,1.522,7.536,0.0,3.6,1.5,9.46
1788647886.926,turning,0.467,0.171,22.8,6,34,141,0.88,1.632,19.4,1.518,7.531,0.0,3.6,1.5,9.46
1788647886.981,turning,0.487,0.182,25.9,7,35,141,0.902,1.676,17.1,1.551,7.512,0.0,3.6,1.5,9.46
1788647887.029,turning,0.5,0.189,29.2,7,35,141,0.902,1.676,14.6,1.541,7.5,0.0,3.6,1.5,9.05
