t_wall,topic,vx,wz,px,py,extra
1788647681.013,odom,0.0000,-0.0012,0.000,0.000,
1788647681.014,follow_state,,,,,idle
1788647681.020,odom,0.0000,-0.0008,0.000,0.000,
1788647681.031,odom,0.0000,-0.0008,0.000,0.000,
1788647681.037,odom,0.0000,-0.0008,0.000,0.000,
1788647681.049,odom,0.0000,-0.0010,0.000,0.000,
1788647681.053,odom,0.0000,-0.0010,0.000,0.000,
1788647681.057,odom,0.0000,-0.0010,0.000,0.000,
1788647681.061,odom,0.0000,-0.0010,0.000,0.000,
1788647681.066,odom,0.0000,-0.0010,0.000,0.000,
1788647681.070,odom,0.0000,-0.0008,0.000,0.000,
1788647681.074,odom,0.0000,-0.0012,0.000,0.000,
1788647681.082,odom,0.0000,-0.0012,0.000,0.000,
1788647681.093,odom,0.0000,-0.0008,0.000,0.000,
1788647681.099,odom,0.0000,-0.0008,0.000,0.000,
1788647681.105,odom,0.0000,-0.0008,0.000,0.000,
1788647681.112,odom,0.0000,-0.0010,0.000,0.000,
1788647681.115,odom,0.0000,0.0008,0.000,0.000,
1788647681.118,odom,0.0000,-0.0012,0.000,0.000,
1788647681.124,odom,0.0000,-0.0008,0.000,0.000,
1788647681.131,odom,0.0000,-0.0012,0.000,0.000,
1788647681.134,odom,0.0000,-0.0012,0.000,0.000,
1788647681.138,odom,0.0000,-0.0006,0.000,0.000,
1788647681.145,odom,0.0000,-0.0006,0.000,0.000,
1788647681.150,odom,0.0000,-0.0008,0.000,0.000,
1788647681.162,odom,0.0000,-0.0008,0.000,0.000,
1788647681.194,odom,0.0000,-0.0008,0.000,0.000,
1788647681.206,odom,0.0000,-0.0002,0.000,0.000,
1788647681.270,odom,0.0000,-0.0024,0.000,0.000,
1788647681.316,odom,0.0000,-0.0010,0.000,0.000,
1788647681.332,odom,0.0000,-0.0012,0.000,0.000,
1788647681.361,odom,0.0000,-0.0008,0.000,0.000,
1788647681.397,odom,0.0000,-0.0012,0.000,0.000,
1788647681.419,odom,0.0000,-0.0012,0.000,0.000,
1788647681.432,odom,0.0000,-0.0012,0.000,0.000,
1788647681.457,odom,0.0000,-0.0010,0.000,0.000,
1788647681.474,odom,0.0000,-0.0010,0.000,0.000,
1788647681.526,odom,0.0000,-0.0010,0.000,0.000,
1788647681.546,odom,0.0000,-0.0008,0.000,0.000,
1788647681.557,odom,0.0000,-0.0008,0.000,0.000,
1788647681.582,odom,0.0000,-0.0008,0.000,0.000,
1788647681.596,odom,0.0000,-0.0008,0.000,0.000,
1788647681.609,odom,0.0000,-0.0008,0.000,0.000,
1788647681.629,odom,0.0000,-0.0010,0.000,0.000,
1788647681.788,odom,0.0000,-0.0010,0.000,0.000,
1788647681.834,odom,0.0000,-0.0006,0.000,0.000,
1788647681.871,odom,0.0000,-0.0008,0.000,0.000,
1788647682.003,odom,0.0000,-0.0012,0.000,0.000,
1788647682.064,odom,0.0000,-0.0008,0.000,0.000,
1788647682.090,odom,0.0000,0.0000,0.000,0.000,
1788647682.104,odom,0.0000,0.0000,0.000,0.000,
1788647682.115,odom,0.0000,-0.0008,0.000,0.000,
1788647682.133,odom,0.0000,-0.0012,0.000,0.000,
1788647682.162,odom,0.0000,-0.0008,0.000,0.000,
1788647682.201,odom,0.0000,-0.0010,0.000,0.000,
1788647682.234,odom,0.0000,-0.0006,0.000,0.000,
1788647682.257,odom,0.0000,-0.0008,0.000,0.000,
1788647682.263,odom,0.0000,-0.0012,0.000,0.000,
1788647682.290,odom,0.0000,-0.0012,0.000,0.000,
1788647682.371,odom,0.0000,-0.0012,0.000,0.000,
1788647682.410,odom,0.0000,-0.0008,0.000,0.000,
1788647682.425,odom,0.0000,-0.0020,0.000,0.000,
1788647682.485,odom,0.0000,0.0000,0.000,0.000,
1788647682.584,odom,0.0000,0.0000,0.000,0.000,
1788647682.611,odom,0.0000,-0.0008,0.000,0.000,
1788647682.617,odom,0.0000,-0.0022,0.000,0.000,
1788647682.639,odom,0.0000,-0.0006,0.000,0.000,
1788647682.678,odom,0.0000,-0.0010,0.000,0.000,
