nav_id,start_ts,end_ts,duration_s,status,start_x,start_y,end_x,end_y,end_yaw,initial_plan_length_m,replans,rec_backup,rec_spin,rec_wait,distance_traveled_m,avg_linear_speed,max_linear_speed,time_stopped_s,direction_reversals
6997dfd8,1788615799.629,1788615815.848,16.22,SUCCEEDED,0.000,0.000,1.491,-0.024,-0.223,0.902,8,0,0,1,1.839,0.100,0.376,7.234,0
afc67e3e,1788616089.532,1788616107.798,18.27,SUCCEEDED,0.000,0.000,1.486,2.179,1.218,2.545,9,0,0,1,2.935,0.154,0.470,8.920,0
a920ed6c,1788616123.984,1788616131.683,7.70,SUCCEEDED,1.493,2.188,1.684,0.494,-1.425,2.010,7,0,0,0,1.756,0.227,0.489,2.618,0
873fa39d,1788620910.742,1788620913.313,2.57,ABORTED,0.000,0.000,0.009,-0.001,0.900,8.391,2,0,0,0,0.044,0.020,0.082,2.506,0
463b0189,1788620917.042,1788620957.282,40.24,SUCCEEDED,0.007,-0.005,4.737,6.758,1.254,8.391,38,0,0,0,8.985,0.208,0.474,15.326,0
72656ef7,1788620959.020,1788620964.571,5.55,ABORTED,4.735,6.747,4.696,6.753,-1.221,13.747,4,0,0,0,0.077,0.021,0.092,5.001,0
8dce9a71,1788620968.149,1788620969.624,1.47,ABORTED,4.701,6.734,4.696,6.754,-1.321,13.683,1,0,0,0,0.021,0.018,0.049,1.141,0
88b8dd38,1788620973.214,1788620973.643,0.43,ABORTED,4.696,6.753,4.696,6.753,-1.320,13.657,0,0,0,0,0.000,0.000,0.000,0.000,0
e1c7e5c5,1788620975.356,1788620977.066,1.71,ABORTED,4.696,6.753,4.695,6.760,-1.374,17.069,1,0,0,0,0.018,0.015,0.086,1.184,0
92e8e661,1788620980.794,1788620988.158,7.36,ABORTED,4.694,6.762,4.729,6.394,-1.466,17.122,6,0,0,0,0.485,0.108,0.807,5.734,0
d0f819cc,1788620991.758,1788620992.223,0.47,ABORTED,4.729,6.397,4.729,6.397,-1.466,16.804,0,0,0,0,0.000,0.000,0.000,0.000,0
dc6da632,1788629412.377,1788629439.532,27.15,SUCCEEDED,0.000,0.000,4.419,6.574,1.194,8.406,25,0,0,0,8.265,0.305,0.470,3.307,0
5776e8fa,1788629441.305,1788629545.630,104.33,CANCELED,4.413,6.504,-5.462,5.353,-2.648,13.499,34,3,3,3,15.997,0.133,0.498,38.262,5
8c6a13b8,1788629740.818,1788629745.749,4.93,CANCELED,-5.507,5.329,-4.438,4.674,-0.529,0.000,0,1,0,1,1.278,0.261,0.444,0.630,0
d96896a3,1788629786.376,1788629816.434,30.06,CANCELED,-5.197,5.042,-3.578,12.259,1.011,8.324,28,0,0,0,7.631,0.247,0.462,8.818,0
e50a5db5,1788629878.296,1788629902.871,24.57,SUCCEEDED,-3.564,12.265,-2.460,19.684,1.724,8.102,22,0,0,0,7.737,0.320,0.468,2.332,0
018ae0bb,1788629904.508,1788629959.862,55.35,CANCELED,-2.479,19.805,-2.449,20.193,2.300,0.000,0,3,2,2,2.407,0.042,0.481,33.032,0
138eef59,1788630383.230,1788630409.274,26.04,SUCCEEDED,-2.391,20.267,-5.110,27.234,2.159,7.580,24,0,0,0,7.865,0.292,0.468,3.665,0
aade3b5d,1788630411.027,1788630429.354,18.33,CANCELED,-5.156,27.278,-4.962,27.261,2.818,0.000,0,1,0,1,0.916,0.051,0.296,16.017,0
23b88e1d,1788630879.075,1788630882.772,3.70,ABORTED,0.056,0.004,0.467,0.627,1.334,7.707,3,0,0,0,0.771,0.214,0.401,1.422,0
63f895f9,1788630886.350,1788630886.651,0.30,ABORTED,0.471,0.640,0.471,0.640,1.328,7.180,0,0,0,0,0.000,0.000,0.000,0.000,0
521fe5fa,1788630890.322,1788630911.393,21.07,SUCCEEDED,0.471,0.640,0.272,7.291,1.665,7.084,20,0,0,0,6.835,0.336,0.468,1.879,0
6d724c1c,1788630913.109,1788630956.081,42.97,SUCCEEDED,0.229,7.403,-7.212,1.637,-2.068,12.926,40,0,0,0,12.747,0.304,0.492,8.218,0
42d35348,1788630957.796,1788631027.441,69.64,SUCCEEDED,-7.182,1.652,6.080,-8.721,0.924,21.770,63,0,0,0,21.695,0.310,0.507,11.516,0
73bb553b,1788631260.109,1788631284.377,24.27,SUCCEEDED,6.146,-8.697,8.878,-1.843,1.330,7.817,23,0,0,0,7.628,0.323,0.464,3.052,0
3fc00131,1788631286.006,1788631327.610,41.60,SUCCEEDED,8.869,-1.852,0.240,-5.020,-2.695,12.848,39,0,0,0,12.394,0.291,0.474,6.187,0
24e69c36,1788631329.273,1788631392.452,63.18,SUCCEEDED,0.002,-5.134,9.370,-18.338,-1.624,20.648,57,0,0,0,20.219,0.332,0.485,7.583,0
4461c0b5,1788631737.192,1788631763.503,26.31,SUCCEEDED,10.262,-17.389,14.474,-10.638,1.428,8.374,24,0,0,0,8.113,0.313,0.477,2.961,0
