ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647738.634,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647738.735,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647738.850,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647738.939,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.043,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.145,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.238,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.337,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.450,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.534,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.652,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.738,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.848,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647739.943,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.037,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.138,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.244,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.341,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.438,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.539,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.637,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.754,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.850,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647740.964,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.037,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.161,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.238,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.346,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.438,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.542,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.635,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.738,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.842,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647741.947,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.036,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.141,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.234,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.338,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.436,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.534,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.635,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.763,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.839,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647742.950,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.035,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.156,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.237,41.58,40.97,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.340,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.434,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.537,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.636,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.758,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.834,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647743.944,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.034,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.147,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.242,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.341,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.436,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.543,41.58,41.00,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.635,41.58,41.00,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.787,41.58,41.00,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.850,41.58,41.00,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647744.938,41.58,41.00,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647745.047,41.58,41.00,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647745.186,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647745.264,41.58,40.97,-294.006591796875,113.4502182006836,0.0,-0.0,0.0,-0.0,0,
1788647745.358,41.58,41.00,0.0,-0.0,0.0,-0.0,-11.0,-0.0,0,
1788647745.464,41.58,41.00,0.0,-0.0,-14.0,-12.0,-14.0,-7.0,0,
1788647745.537,41.58,40.97,0.0,-0.0,-9.0,-10.0,-12.0,-11.0,0,
1788647745.638,41.58,40.97,0.0,-0.0,-9.0,-6.0,-8.0,-5.0,0,
1788647745.766,41.58,40.97,120.0,120.0,0.0,-0.0,0.0,-5.0,0,
1788647745.841,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647745.951,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.036,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.146,41.58,40.97,120.0,120.0,0.0,-0.0,0.0,-0.0,0,
1788647746.241,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.343,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.442,41.58,40.97,0.0,-0.0,6.0,9.0,8.0,8.0,0,
1788647746.538,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.671,41.58,40.97,53.6251335144043,53.6251335144043,0.0,-0.0,0.0,-0.0,0,
1788647746.738,41.58,40.97,59.569496154785156,59.569496154785156,0.0,-0.0,0.0,-0.0,0,
1788647746.862,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647746.945,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.045,41.58,40.95,120.0,120.0,0.0,-0.0,0.0,-0.0,0,
1788647747.166,41.58,40.95,0.0,-0.0,0.0,6.0,0.0,-0.0,0,
1788647747.254,41.58,40.95,0.0,-0.0,5.0,6.0,5.0,8.0,0,
1788647747.362,41.58,40.97,0.0,-0.0,0.0,6.0,6.0,-0.0,0,
1788647747.446,41.58,40.97,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.535,41.58,40.95,0.0,-0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.643,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.738,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.837,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647747.936,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.043,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.134,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.248,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.342,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.442,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.549,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.645,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.737,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.838,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647748.934,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.036,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.136,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.236,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.334,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.438,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.551,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.638,41.58,40.92,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.749,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.837,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647749.935,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.046,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.136,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647750.244,41.58,40.95,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
